sample_pair,comparison_type,effect_magnitude,effect_size,adjusted_p_value,confidence_width,statistical_significance,measurement_category,analysis_method,comparison_direction,clinical_importance,experimental_robustness,validation_confidence,publication_readiness
control_vs_treatment_B,protein_concentration_48h,1.84,1.28,0.0008,0.27,highly_significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_C,protein_concentration_48h,2.23,1.52,0.0002,0.33,highly_significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,protein_concentration_48h,1.30,0.85,0.017,0.17,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,protein_concentration_48h,1.57,1.05,0.004,0.23,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,protein_concentration_48h,1.21,0.78,0.026,0.16,significant,protein_quantification,welch_t_test,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,enzyme_activity_72h,1.62,1.18,0.002,0.25,highly_significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_B,enzyme_activity_72h,1.89,1.35,0.0006,0.30,highly_significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_C,enzyme_activity_72h,2.14,1.56,0.0001,0.35,highly_significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,enzyme_activity_72h,1.32,0.87,0.014,0.18,significant,biochemical_assay,welch_t_test,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,enzyme_activity_72h,1.13,0.69,0.043,0.13,significant,biochemical_assay,welch_t_test,positive,moderate,medium,validated,publication_ready
control_vs_treatment_A,cell_viability_72h,-1.15,0.79,0.025,0.14,significant,cytotoxicity_assay,welch_t_test,negative,moderate,medium,validated,publication_ready
control_vs_treatment_B,cell_viability_72h,-1.52,1.04,0.004,0.20,significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
control_vs_treatment_C,cell_viability_72h,-1.95,1.32,0.0004,0.28,highly_significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
treatment_A_vs_treatment_B,cell_viability_72h,-0.98,0.71,0.032,0.12,significant,cytotoxicity_assay,welch_t_test,negative,moderate,medium,validated,publication_ready
treatment_A_vs_treatment_C,cell_viability_72h,-1.47,0.95,0.006,0.17,significant,cytotoxicity_assay,welch_t_test,negative,high,high,validated,publication_ready
treatment_B_vs_treatment_C,cell_viability_72h,-0.91,0.63,0.058,0.11,not_significant,cytotoxicity_assay,welch_t_test,negative,low,medium,preliminary,draft
control_vs_treatment_A,protein_concentration_72h,1.25,0.86,0.019,0.17,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_B,protein_concentration_72h,1.73,1.19,0.001,0.25,highly_significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_C,protein_concentration_72h,2.31,1.58,0.00008,0.34,highly_significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,protein_concentration_72h,1.38,0.91,0.009,0.19,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,protein_concentration_72h,1.85,1.24,0.001,0.26,highly_significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,protein_concentration_72h,1.33,0.88,0.013,0.18,significant,protein_quantification,welch_t_test,positive,high,high,validated,publication_ready
control_vs_treatment_A,dose_response_analysis,2.15,1.48,0.0001,0.32,highly_significant,dose_response_modeling,nonlinear_regression,positive,high,high,validated,publication_ready
control_vs_treatment_B,dose_response_analysis,2.67,1.82,0.00002,0.39,highly_significant,dose_response_modeling,nonlinear_regression,positive,high,high,validated,publication_ready
control_vs_treatment_C,dose_response_analysis,3.21,2.18,0.000005,0.47,highly_significant,dose_response_modeling,nonlinear_regression,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,dose_response_analysis,1.24,0.85,0.016,0.17,significant,dose_response_modeling,nonlinear_regression,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,dose_response_analysis,1.49,1.01,0.005,0.22,significant,dose_response_modeling,nonlinear_regression,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,dose_response_analysis,1.20,0.79,0.027,0.15,significant,dose_response_modeling,nonlinear_regression,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,mechanistic_analysis,1.89,1.29,0.0007,0.28,highly_significant,mechanistic_modeling,pathway_analysis,positive,high,high,validated,publication_ready
control_vs_treatment_B,mechanistic_analysis,2.34,1.61,0.0001,0.35,highly_significant,mechanistic_modeling,pathway_analysis,positive,high,high,validated,publication_ready
control_vs_treatment_C,mechanistic_analysis,2.78,1.89,0.00001,0.42,highly_significant,mechanistic_modeling,pathway_analysis,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,mechanistic_analysis,1.24,0.82,0.021,0.16,significant,mechanistic_modeling,pathway_analysis,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,mechanistic_analysis,1.47,0.98,0.006,0.21,significant,mechanistic_modeling,pathway_analysis,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,mechanistic_analysis,1.19,0.76,0.033,0.14,significant,mechanistic_modeling,pathway_analysis,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,temporal_dynamics,1.76,1.21,0.001,0.26,highly_significant,time_series_analysis,repeated_measures_anova,positive,high,high,validated,publication_ready
control_vs_treatment_B,temporal_dynamics,2.13,1.46,0.0003,0.31,highly_significant,time_series_analysis,repeated_measures_anova,positive,high,high,validated,publication_ready
control_vs_treatment_C,temporal_dynamics,2.48,1.71,0.00005,0.37,highly_significant,time_series_analysis,repeated_measures_anova,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,temporal_dynamics,1.21,0.81,0.024,0.15,significant,time_series_analysis,repeated_measures_anova,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,temporal_dynamics,1.41,0.94,0.008,0.19,significant,time_series_analysis,repeated_measures_anova,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,temporal_dynamics,1.16,0.74,0.036,0.13,significant,time_series_analysis,repeated_measures_anova,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,synergistic_effects,2.34,1.63,0.0001,0.35,highly_significant,interaction_analysis,factorial_anova,positive,high,high,validated,publication_ready
control_vs_treatment_B,synergistic_effects,2.89,1.97,0.00001,0.43,highly_significant,interaction_analysis,factorial_anova,positive,high,high,validated,publication_ready
control_vs_treatment_C,synergistic_effects,3.45,2.34,0.000002,0.52,highly_significant,interaction_analysis,factorial_anova,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,synergistic_effects,1.23,0.84,0.018,0.17,significant,interaction_analysis,factorial_anova,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,synergistic_effects,1.47,0.99,0.005,0.22,significant,interaction_analysis,factorial_anova,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,synergistic_effects,1.19,0.78,0.030,0.15,significant,interaction_analysis,factorial_anova,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,biomarker_correlation,1.58,1.08,0.003,0.23,significant,correlation_analysis,pearson_correlation,positive,high,high,validated,publication_ready
control_vs_treatment_B,biomarker_correlation,1.94,1.34,0.0005,0.29,highly_significant,correlation_analysis,pearson_correlation,positive,high,high,validated,publication_ready
control_vs_treatment_C,biomarker_correlation,2.31,1.59,0.00008,0.34,highly_significant,correlation_analysis,pearson_correlation,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,biomarker_correlation,1.23,0.83,0.020,0.16,significant,correlation_analysis,pearson_correlation,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,biomarker_correlation,1.46,0.97,0.007,0.21,significant,correlation_analysis,pearson_correlation,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,biomarker_correlation,1.19,0.77,0.031,0.15,significant,correlation_analysis,pearson_correlation,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,safety_profile,-0.76,0.53,0.083,0.09,not_significant,safety_assessment,risk_analysis,negative,low,medium,preliminary,draft
control_vs_treatment_B,safety_profile,-1.12,0.78,0.028,0.14,significant,safety_assessment,risk_analysis,negative,moderate,medium,validated,draft
control_vs_treatment_C,safety_profile,-1.58,1.09,0.003,0.23,significant,safety_assessment,risk_analysis,negative,high,high,validated,publication_ready
treatment_A_vs_treatment_B,safety_profile,-0.84,0.59,0.063,0.10,not_significant,safety_assessment,risk_analysis,negative,low,medium,preliminary,draft
treatment_A_vs_treatment_C,safety_profile,-1.23,0.85,0.017,0.17,significant,safety_assessment,risk_analysis,negative,high,high,validated,publication_ready
treatment_B_vs_treatment_C,safety_profile,-0.91,0.64,0.048,0.11,significant,safety_assessment,risk_analysis,negative,moderate,medium,validated,draft
control_vs_treatment_A,efficacy_index,2.78,1.91,0.00001,0.42,highly_significant,efficacy_assessment,composite_scoring,positive,high,high,validated,publication_ready
control_vs_treatment_B,efficacy_index,3.45,2.37,0.000002,0.52,highly_significant,efficacy_assessment,composite_scoring,positive,high,high,validated,publication_ready
control_vs_treatment_C,efficacy_index,4.12,2.83,0.0000005,0.62,highly_significant,efficacy_assessment,composite_scoring,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,efficacy_index,1.24,0.85,0.015,0.17,significant,efficacy_assessment,composite_scoring,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,efficacy_index,1.48,1.01,0.004,0.22,significant,efficacy_assessment,composite_scoring,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,efficacy_index,1.19,0.79,0.028,0.15,significant,efficacy_assessment,composite_scoring,positive,moderate,high,validated,publication_ready
control_vs_treatment_A,therapeutic_window,1.95,1.34,0.0004,0.29,highly_significant,therapeutic_assessment,benefit_risk_analysis,positive,high,high,validated,publication_ready
control_vs_treatment_B,therapeutic_window,2.41,1.66,0.00007,0.36,highly_significant,therapeutic_assessment,benefit_risk_analysis,positive,high,high,validated,publication_ready
control_vs_treatment_C,therapeutic_window,2.87,1.98,0.00001,0.43,highly_significant,therapeutic_assessment,benefit_risk_analysis,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_B,therapeutic_window,1.24,0.83,0.019,0.16,significant,therapeutic_assessment,benefit_risk_analysis,positive,high,high,validated,publication_ready
treatment_A_vs_treatment_C,therapeutic_window,1.47,0.99,0.006,0.21,significant,therapeutic_assessment,benefit_risk_analysis,positive,high,high,validated,publication_ready
treatment_B_vs_treatment_C,therapeutic_window,1.18,0.76,0.034,0.14,significant,therapeutic_assessment,benefit_risk_analysis,positive,moderate,high,validated,publication_ready
