# =============================================================================
# FigRegistry-Kedro Integration: Publication-Ready Scientific Analysis Dataset
# =============================================================================
# 
# File: publication_figures_data.csv
# Purpose: Publication-ready analysis dataset containing final experimental 
#          results, effect sizes, and statistical significance measures formatted
#          for high-quality scientific visualization and journal submission
#
# Integration Capabilities Demonstrated:
# - F-004: Automated publication output management with versioned figure saving
# - F-005: FigureDataSet integration enabling purpose-based styling (pub purpose)
# - F-005-RQ-002: Purpose parameter resolution for publication-specific formatting
# - Section 4.2.3: Figure generation process with publication output workflow
#
# Publication Output Features:
# - High-contrast black styling for journal submission (publication purpose)
# - Statistical significance indicators for scientific rigor
# - Effect size calculations following Cohen's conventions
# - Confidence intervals for uncertainty quantification
# - Publication categories for figure organization (main_figure, supplementary, methods)
# - Automated formatting through catalog configuration per F-005-RQ-002
#
# Dataset Structure:
# This dataset represents the final stage of experimental analysis, aggregating
# results from intermediate processing into publication-ready format. Each row
# represents a scientific finding ready for visualization in peer-reviewed
# publications with automated styling through the 'pub' purpose setting.
# =============================================================================

figure_id,publication_category,analysis_type,experimental_comparison,measurement_outcome,sample_size,effect_size,effect_size_interpretation,p_value,statistical_significance,confidence_interval_lower,confidence_interval_upper,confidence_level,power_analysis,study_design,research_question,publication_context,figure_purpose,visualization_priority,journal_requirements,statistical_method,validation_status,peer_review_readiness,data_completeness,methodological_rigor
PUB-FIG-011,methods,validation_metrics,model_performance_analysis,prediction_accuracy,300,0.92,large_effect,0.004,highly_significant,0.76,1.08,95%,0.94,model_validation,How accurate are the predictive models used in analysis?,methodological_validation,validate_analytical_approach,low_priority,methods_section,cross_validation,validated,peer_review_ready,complete,high_rigor
PUB-FIG-012,methods,statistical_power,power_analysis_summary,statistical_power_adequacy,400,0.85,large_effect,0.009,highly_significant,0.68,1.02,95%,0.91,power_analysis,Is the study adequately powered to detect meaningful effects?,study_design_validation,justify_sample_size,low_priority,methods_section,power_calculation,validated,peer_review_ready,complete,high_rigor
PUB-FIG-013,methods,quality_control,analytical_precision,measurement_reliability,500,0.94,large_effect,0.002,highly_significant,0.78,1.10,95%,0.96,quality_assurance,Are the analytical methods sufficiently precise and reliable?,methodological_rigor,demonstrate_measurement_quality,low_priority,methods_section,reliability_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-014,methods,reproducibility,inter_laboratory_comparison,method_reproducibility,150,0.88,large_effect,0.008,highly_significant,0.70,1.06,95%,0.90,reproducibility_study,Are the methods reproducible across different laboratories?,reproducibility_validation,establish_method_robustness,low_priority,methods_section,concordance_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-015,main_figure,longitudinal_analysis,time_course_effectiveness,sustained_treatment_effect,200,1.23,large_effect,0.001,highly_significant,1.05,1.41,95%,0.97,longitudinal_cohort,Do treatment effects persist over extended time periods?,durability_assessment,demonstrate_sustained_efficacy,high_priority,journal_submission_ready,mixed_effects_model,validated,peer_review_ready,complete,high_rigor
PUB-FIG-016,main_figure,subgroup_analysis,personalized_treatment_response,treatment_personalization,175,1.34,large_effect,0.001,highly_significant,1.15,1.53,95%,0.98,stratified_analysis,Can treatment response be predicted based on patient characteristics?,precision_medicine,support_personalized_treatment,high_priority,journal_submission_ready,stratified_regression,validated,peer_review_ready,complete,high_rigor
PUB-FIG-017,supplementary,safety_profile,adverse_event_analysis,treatment_safety,250,0.12,small_effect,0.489,not_significant,0.02,0.26,95%,0.65,safety_monitoring,Are there significant safety concerns with the treatments?,safety_assessment,establish_safety_profile,medium_priority,supplementary_material,chi_square_test,validated,peer_review_ready,complete,high_rigor
PUB-FIG-018,supplementary,cost_effectiveness,economic_evaluation,cost_benefit_ratio,300,0.76,large_effect,0.014,significant,0.59,0.93,95%,0.88,health_economics,Are the treatments cost-effective compared to standard care?,economic_analysis,support_implementation_decisions,medium_priority,supplementary_material,cost_effectiveness_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-019,supplementary,mechanism_analysis,biological_pathway,mechanistic_insight,125,0.82,large_effect,0.011,significant,0.65,0.99,95%,0.89,mechanistic_study,What are the biological mechanisms underlying treatment effects?,mechanistic_understanding,explain_mode_of_action,medium_priority,supplementary_material,pathway_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-020,supplementary,external_validity,multi_site_validation,generalizability,400,0.91,large_effect,0.006,highly_significant,0.74,1.08,95%,0.92,multi_center_study,Are the findings generalizable across different populations and settings?,external_validation,establish_generalizability,medium_priority,supplementary_material,meta_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-021,methods,baseline_characteristics,demographic_analysis,population_representativeness,500,0.23,small_effect,0.234,not_significant,0.06,0.40,95%,0.72,descriptive_analysis,Are the study populations representative of target demographics?,baseline_validation,establish_population_validity,low_priority,methods_section,descriptive_statistics,validated,peer_review_ready,complete,high_rigor
PUB-FIG-022,methods,data_integrity,missing_data_analysis,data_completeness,500,0.15,small_effect,0.412,not_significant,0.01,0.31,95%,0.68,data_quality_assessment,Is missing data appropriately handled and non-differential?,data_quality_validation,justify_analytical_approach,low_priority,methods_section,missing_data_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-023,main_figure,primary_endpoint,composite_outcome_analysis,overall_treatment_benefit,300,1.45,large_effect,0.0001,highly_significant,1.26,1.64,95%,0.99,composite_endpoint,What is the overall treatment benefit across all measured outcomes?,primary_efficacy_endpoint,demonstrate_comprehensive_benefit,high_priority,journal_submission_ready,composite_score_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-024,main_figure,clinical_significance,meaningful_change_analysis,clinical_relevance,250,1.28,large_effect,0.002,highly_significant,1.09,1.47,95%,0.96,clinical_significance,Are the observed effects clinically meaningful and not just statistically significant?,clinical_impact_assessment,establish_clinical_relevance,high_priority,journal_submission_ready,minimal_clinically_important_difference,validated,peer_review_ready,complete,high_rigor
PUB-FIG-025,supplementary,sensitivity_analysis,robustness_testing,finding_robustness,400,0.87,large_effect,0.009,highly_significant,0.70,1.04,95%,0.90,sensitivity_analysis,Are the findings robust to different analytical approaches?,robustness_validation,establish_finding_stability,medium_priority,supplementary_material,sensitivity_testing,validated,peer_review_ready,complete,high_rigor
PUB-FIG-026,supplementary,meta_analysis,literature_integration,evidence_synthesis,1200,0.93,large_effect,0.005,highly_significant,0.76,1.10,95%,0.93,systematic_review,How do these findings compare with existing literature?,literature_contextualization,position_within_evidence_base,medium_priority,supplementary_material,random_effects_meta_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-027,methods,instrument_validation,measurement_psychometrics,instrument_reliability,300,0.91,large_effect,0.006,highly_significant,0.74,1.08,95%,0.92,psychometric_validation,Are the measurement instruments valid and reliable?,instrument_validation,establish_measurement_quality,low_priority,methods_section,cronbach_alpha,validated,peer_review_ready,complete,high_rigor
PUB-FIG-028,methods,protocol_adherence,compliance_monitoring,study_integrity,500,0.89,large_effect,0.007,highly_significant,0.72,1.06,95%,0.91,protocol_monitoring,Was the study protocol followed consistently across all participants?,protocol_validation,ensure_study_validity,low_priority,methods_section,compliance_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-029,supplementary,exploratory_analysis,biomarker_discovery,novel_insights,200,0.74,large_effect,0.016,significant,0.57,0.91,95%,0.87,exploratory_biomarkers,Are there novel biomarkers that predict treatment response?,biomarker_identification,identify_predictive_markers,medium_priority,supplementary_material,biomarker_analysis,validated,peer_review_ready,complete,high_rigor
PUB-FIG-030,supplementary,network_analysis,systems_biology,pathway_networks,150,0.86,large_effect,0.010,significant,0.69,1.03,95%,0.90,network_analysis,How do treatments affect biological pathway networks?,systems_understanding,elucidate_system_effects,medium_priority,supplementary_material,network_topology_analysis,validated,peer_review_ready,complete,high_rigor
