# =============================================================================
# FigRegistry-Kedro Integration: Final Model Training Results Dataset
# =============================================================================
# 
# File: model_training_results.csv
# Purpose: Final clean model training and validation results containing metrics,
#          performance indicators, and experimental conditions ready for 
#          publication-quality visualization through FigureDataSet automation
# 
# Dataset Features:
# - Multi-condition styling through model_type, training_phase, performance_category
# - Comprehensive model metadata for realistic ML visualization context  
# - Performance threshold categorization for automated styling demonstration
# - Support for complex condition resolution and hierarchical pattern matching
# - Publication-ready metrics with confidence intervals and statistical measures
# 
# Integration Capabilities Demonstrated:
# - F-002: Advanced condition-based styling with multi-parameter resolution
# - F-005-RQ-004: Complex condition resolution via FigureDataSet automation
# - Section 4.2.4: API synchronization with comprehensive experimental metadata
# - ConfigBridge: Hierarchical condition matching and fallback styling patterns
# 
# =============================================================================

model_id,experiment_id,model_type,training_phase,performance_category,performance_metric,accuracy_score,precision_score,recall_score,f1_score,roc_auc_score,validation_score,cross_validation_mean,cross_validation_std,training_loss,validation_loss,test_loss,epochs_completed,learning_rate,batch_size,optimizer_type,regularization_strength,dropout_rate,early_stopping_patience,training_time_minutes,inference_time_ms,model_size_mb,feature_count,sample_count,convergence_achieved,final_gradient_norm,training_samples,validation_samples,test_samples,hyperparameter_set,confidence_interval_lower,confidence_interval_upper,statistical_significance,effect_size,baseline_improvement,computational_complexity,memory_usage_mb,experiment_condition,analysis_stage
MODEL_016,EXP001,linear_regression,final,excellent,0.878,0.878,0.865,0.884,0.893,0.918,0.871,0.866,0.011,0.231,0.245,0.252,50,0.0005,32,adam,0.01,0.0,10,30.1,2.0,1.2,15,700,true,0.0014,490,105,105,hp_set_01,0.867,0.889,0.013,0.91,0.141,O(n),128,treatment_group_b,publication

MODEL_017,EXP001,random_forest,training,excellent,0.881,0.881,0.867,0.889,0.896,0.923,0.874,0.868,0.020,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,46.2,6.1,8.3,15,700,true,0.0,490,105,105,hp_set_02,0.861,0.901,0.017,0.89,0.158,O(n log n),256,treatment_group_b,exploratory
MODEL_018,EXP001,random_forest,validation,excellent,0.907,0.907,0.894,0.913,0.921,0.948,0.900,0.893,0.017,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,46.2,5.8,8.3,15,700,true,0.0,490,105,105,hp_set_02,0.890,0.924,0.012,1.02,0.186,O(n log n),256,treatment_group_b,exploratory
MODEL_019,EXP001,random_forest,testing,excellent,0.925,0.925,0.913,0.931,0.938,0.965,0.918,0.912,0.014,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,46.2,5.5,8.3,15,700,true,0.0,490,105,105,hp_set_02,0.911,0.939,0.008,1.15,0.206,O(n log n),256,treatment_group_b,exploratory
MODEL_020,EXP001,random_forest,final,excellent,0.943,0.943,0.932,0.948,0.955,0.978,0.936,0.931,0.011,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,46.2,5.2,8.3,15,700,true,0.0,490,105,105,hp_set_02,0.932,0.954,0.004,1.28,0.227,O(n log n),256,treatment_group_b,publication

MODEL_021,EXP001,ensemble,training,excellent,0.905,0.905,0.892,0.911,0.919,0.946,0.898,0.892,0.018,0.312,0.335,0.349,75,0.0007,32,adam,0.005,0.1,15,79.8,13.1,15.7,15,700,true,0.0018,490,105,105,hp_set_03,0.887,0.923,0.013,0.97,0.184,O(n²),512,treatment_group_b,exploratory
MODEL_022,EXP001,ensemble,validation,excellent,0.934,0.934,0.923,0.939,0.947,0.974,0.927,0.922,0.015,0.267,0.278,0.286,85,0.0005,32,adam,0.005,0.1,15,91.4,12.5,15.7,15,700,true,0.0015,490,105,105,hp_set_03,0.919,0.949,0.009,1.14,0.218,O(n²),512,treatment_group_b,exploratory
MODEL_023,EXP001,ensemble,testing,excellent,0.956,0.956,0.946,0.961,0.968,0.989,0.949,0.945,0.012,0.221,0.229,0.234,95,0.0004,32,adam,0.005,0.1,15,99.7,11.9,15.7,15,700,true,0.0012,490,105,105,hp_set_03,0.944,0.968,0.005,1.34,0.243,O(n²),512,treatment_group_b,exploratory
MODEL_024,EXP001,ensemble,final,excellent,0.978,0.978,0.969,0.982,0.987,0.998,0.971,0.968,0.008,0.178,0.183,0.186,100,0.0003,32,adam,0.005,0.1,15,105.2,11.3,15.7,15,700,true,0.0009,490,105,105,hp_set_03,0.970,0.986,0.002,1.56,0.278,O(n²),512,treatment_group_b,publication

MODEL_025,EXP001,linear_regression,training,poor,0.768,0.768,0.751,0.772,0.779,0.802,0.761,0.754,0.025,0.445,0.472,0.489,25,0.001,32,adam,0.01,0.0,10,13.1,2.7,1.2,15,600,true,0.0031,420,90,90,hp_set_01,0.743,0.793,0.047,0.42,0.025,O(n),128,control_group,exploratory
MODEL_026,EXP001,linear_regression,validation,poor,0.781,0.781,0.764,0.785,0.792,0.815,0.774,0.768,0.023,0.396,0.419,0.434,35,0.0008,32,adam,0.01,0.0,10,19.3,2.5,1.2,15,600,true,0.0027,420,90,90,hp_set_01,0.758,0.804,0.039,0.51,0.041,O(n),128,control_group,exploratory
MODEL_027,EXP001,linear_regression,testing,good,0.803,0.803,0.787,0.808,0.815,0.836,0.796,0.791,0.019,0.347,0.365,0.378,45,0.0006,32,adam,0.01,0.0,10,26.8,2.3,1.2,15,600,true,0.0023,420,90,90,hp_set_01,0.784,0.822,0.029,0.64,0.063,O(n),128,control_group,exploratory
MODEL_028,EXP001,linear_regression,final,good,0.825,0.825,0.810,0.831,0.838,0.859,0.818,0.814,0.015,0.298,0.312,0.321,50,0.0005,32,adam,0.01,0.0,10,30.8,2.2,1.2,15,600,true,0.0019,420,90,90,hp_set_01,0.810,0.840,0.022,0.73,0.085,O(n),128,control_group,publication

MODEL_029,EXP001,random_forest,training,good,0.834,0.834,0.819,0.840,0.847,0.872,0.827,0.821,0.022,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,47.1,6.8,8.3,15,600,true,0.0,420,90,90,hp_set_02,0.812,0.856,0.025,0.71,0.094,O(n log n),256,control_group,exploratory
MODEL_030,EXP001,random_forest,validation,good,0.856,0.856,0.842,0.863,0.870,0.893,0.849,0.843,0.019,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,47.1,6.5,8.3,15,600,true,0.0,420,90,90,hp_set_02,0.837,0.875,0.021,0.83,0.117,O(n log n),256,control_group,exploratory
MODEL_031,EXP001,random_forest,testing,excellent,0.878,0.878,0.865,0.884,0.891,0.916,0.871,0.866,0.016,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,47.1,6.2,8.3,15,600,true,0.0,420,90,90,hp_set_02,0.862,0.894,0.016,0.91,0.141,O(n log n),256,control_group,exploratory
MODEL_032,EXP001,random_forest,final,excellent,0.901,0.901,0.889,0.907,0.914,0.939,0.894,0.889,0.013,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,47.1,5.9,8.3,15,600,true,0.0,420,90,90,hp_set_02,0.888,0.914,0.011,1.05,0.164,O(n log n),256,control_group,publication

MODEL_033,EXP001,ensemble,training,excellent,0.867,0.867,0.853,0.874,0.881,0.908,0.860,0.854,0.020,0.356,0.381,0.395,75,0.0007,32,adam,0.005,0.1,15,81.2,14.3,15.7,15,600,true,0.0021,420,90,90,hp_set_03,0.847,0.887,0.018,0.86,0.147,O(n²),512,control_group,exploratory
MODEL_034,EXP001,ensemble,validation,excellent,0.892,0.892,0.879,0.898,0.905,0.932,0.885,0.880,0.017,0.312,0.327,0.338,85,0.0005,32,adam,0.005,0.1,15,93.1,13.7,15.7,15,600,true,0.0018,420,90,90,hp_set_03,0.875,0.909,0.014,0.98,0.172,O(n²),512,control_group,exploratory
MODEL_035,EXP001,ensemble,testing,excellent,0.918,0.918,0.906,0.924,0.931,0.958,0.911,0.907,0.014,0.267,0.276,0.283,95,0.0004,32,adam,0.005,0.1,15,101.3,13.1,15.7,15,600,true,0.0015,420,90,90,hp_set_03,0.904,0.932,0.010,1.12,0.198,O(n²),512,control_group,exploratory
MODEL_036,EXP001,ensemble,final,excellent,0.943,0.943,0.932,0.948,0.955,0.978,0.936,0.932,0.011,0.223,0.230,0.235,100,0.0003,32,adam,0.005,0.1,15,107.8,12.6,15.7,15,600,true,0.0012,420,90,90,hp_set_03,0.932,0.954,0.007,1.31,0.223,O(n²),512,control_group,publication

MODEL_037,EXP002,linear_regression,training,good,0.856,0.856,0.842,0.863,0.870,0.893,0.849,0.843,0.018,0.334,0.359,0.375,30,0.0009,32,adam,0.012,0.0,12,15.7,2.4,1.2,18,800,true,0.0022,560,120,120,hp_set_04,0.838,0.874,0.021,0.78,0.117,O(n),128,treatment_group_a,presentation
MODEL_038,EXP002,linear_regression,validation,excellent,0.883,0.883,0.870,0.889,0.896,0.921,0.876,0.871,0.015,0.287,0.303,0.316,42,0.0007,32,adam,0.012,0.0,12,22.1,2.2,1.2,18,800,true,0.0018,560,120,120,hp_set_04,0.868,0.898,0.016,0.92,0.156,O(n),128,treatment_group_a,presentation
MODEL_039,EXP002,linear_regression,testing,excellent,0.907,0.907,0.895,0.913,0.920,0.945,0.900,0.896,0.012,0.241,0.252,0.261,50,0.0005,32,adam,0.012,0.0,12,27.3,2.0,1.2,18,800,true,0.0015,560,120,120,hp_set_04,0.895,0.919,0.011,1.08,0.184,O(n),128,treatment_group_a,presentation
MODEL_040,EXP002,linear_regression,final,excellent,0.929,0.929,0.918,0.935,0.942,0.967,0.922,0.919,0.009,0.195,0.203,0.208,55,0.0004,32,adam,0.012,0.0,12,30.6,1.9,1.2,18,800,true,0.0012,560,120,120,hp_set_04,0.920,0.938,0.007,1.24,0.212,O(n),128,treatment_group_a,publication

MODEL_041,EXP002,random_forest,training,excellent,0.912,0.912,0.899,0.918,0.925,0.952,0.905,0.900,0.017,0.0,0.0,0.0,120,0.0,0,random_forest,0.0,0.0,0,52.8,5.1,9.7,18,800,true,0.0,560,120,120,hp_set_05,0.895,0.929,0.013,1.09,0.189,O(n log n),256,treatment_group_a,presentation
MODEL_042,EXP002,random_forest,validation,excellent,0.938,0.938,0.927,0.943,0.950,0.977,0.931,0.927,0.014,0.0,0.0,0.0,120,0.0,0,random_forest,0.0,0.0,0,52.8,4.8,9.7,18,800,true,0.0,560,120,120,hp_set_05,0.924,0.952,0.009,1.31,0.223,O(n log n),256,treatment_group_a,presentation
MODEL_043,EXP002,random_forest,testing,excellent,0.961,0.961,0.951,0.966,0.973,0.994,0.954,0.951,0.011,0.0,0.0,0.0,120,0.0,0,random_forest,0.0,0.0,0,52.8,4.5,9.7,18,800,true,0.0,560,120,120,hp_set_05,0.950,0.972,0.005,1.58,0.249,O(n log n),256,treatment_group_a,presentation
MODEL_044,EXP002,random_forest,final,excellent,0.982,0.982,0.974,0.987,0.991,0.999,0.975,0.973,0.008,0.0,0.0,0.0,120,0.0,0,random_forest,0.0,0.0,0,52.8,4.3,9.7,18,800,true,0.0,560,120,120,hp_set_05,0.974,0.990,0.002,1.89,0.278,O(n log n),256,treatment_group_a,publication

MODEL_045,EXP002,ensemble,training,excellent,0.934,0.934,0.923,0.939,0.946,0.973,0.927,0.923,0.016,0.278,0.294,0.307,80,0.0006,32,adam,0.006,0.12,18,89.4,10.8,18.3,18,800,true,0.0014,560,120,120,hp_set_06,0.918,0.950,0.011,1.27,0.218,O(n²),512,treatment_group_a,presentation
MODEL_046,EXP002,ensemble,validation,excellent,0.967,0.967,0.958,0.972,0.978,0.996,0.960,0.957,0.013,0.223,0.235,0.244,90,0.0004,32,adam,0.006,0.12,18,98.2,10.2,18.3,18,800,true,0.0011,560,120,120,hp_set_06,0.954,0.980,0.007,1.67,0.256,O(n²),512,treatment_group_a,presentation
MODEL_047,EXP002,ensemble,testing,excellent,0.987,0.987,0.980,0.991,0.995,0.999,0.980,0.978,0.010,0.167,0.173,0.178,98,0.0003,32,adam,0.006,0.12,18,104.9,9.7,18.3,18,800,true,0.0008,560,120,120,hp_set_06,0.977,0.997,0.003,2.12,0.289,O(n²),512,treatment_group_a,presentation
MODEL_048,EXP002,ensemble,final,excellent,0.995,0.995,0.989,0.998,0.999,1.000,0.988,0.987,0.007,0.124,0.127,0.130,100,0.0002,32,adam,0.006,0.12,18,108.7,9.4,18.3,18,800,true,0.0006,560,120,120,hp_set_06,0.988,1.000,0.001,2.45,0.312,O(n²),512,treatment_group_a,publication

MODEL_049,EXP003,linear_regression,training,good,0.834,0.834,0.819,0.840,0.847,0.872,0.827,0.821,0.019,0.367,0.394,0.412,28,0.0009,32,adam,0.011,0.0,12,14.2,2.6,1.2,16,720,true,0.0024,504,108,108,hp_set_07,0.815,0.853,0.023,0.71,0.094,O(n),128,treatment_group_b,presentation
MODEL_050,EXP003,linear_regression,validation,excellent,0.867,0.867,0.853,0.874,0.881,0.906,0.860,0.855,0.016,0.312,0.331,0.346,40,0.0007,32,adam,0.011,0.0,12,20.8,2.4,1.2,16,720,true,0.0020,504,108,108,hp_set_07,0.851,0.883,0.018,0.86,0.131,O(n),128,treatment_group_b,presentation
MODEL_051,EXP003,linear_regression,testing,excellent,0.889,0.889,0.876,0.895,0.902,0.927,0.882,0.878,0.013,0.267,0.281,0.293,48,0.0005,32,adam,0.011,0.0,12,25.6,2.2,1.2,16,720,true,0.0017,504,108,108,hp_set_07,0.876,0.902,0.014,0.97,0.158,O(n),128,treatment_group_b,presentation
MODEL_052,EXP003,linear_regression,final,excellent,0.911,0.911,0.899,0.917,0.924,0.949,0.904,0.901,0.010,0.221,0.231,0.238,52,0.0004,32,adam,0.011,0.0,12,28.3,2.1,1.2,16,720,true,0.0014,504,108,108,hp_set_07,0.901,0.921,0.010,1.11,0.185,O(n),128,treatment_group_b,publication

MODEL_053,EXP003,random_forest,training,excellent,0.898,0.898,0.885,0.904,0.911,0.938,0.891,0.887,0.018,0.0,0.0,0.0,110,0.0,0,random_forest,0.0,0.0,0,48.9,5.6,9.7,16,720,true,0.0,504,108,108,hp_set_08,0.880,0.916,0.015,0.98,0.167,O(n log n),256,treatment_group_b,presentation
MODEL_054,EXP003,random_forest,validation,excellent,0.923,0.923,0.912,0.928,0.935,0.962,0.916,0.912,0.015,0.0,0.0,0.0,110,0.0,0,random_forest,0.0,0.0,0,48.9,5.3,9.7,16,720,true,0.0,504,108,108,hp_set_08,0.908,0.938,0.011,1.23,0.198,O(n log n),256,treatment_group_b,presentation
MODEL_055,EXP003,random_forest,testing,excellent,0.947,0.947,0.937,0.952,0.959,0.984,0.940,0.937,0.012,0.0,0.0,0.0,110,0.0,0,random_forest,0.0,0.0,0,48.9,5.0,9.7,16,720,true,0.0,504,108,108,hp_set_08,0.935,0.959,0.007,1.45,0.234,O(n log n),256,treatment_group_b,presentation
MODEL_056,EXP003,random_forest,final,excellent,0.971,0.971,0.962,0.976,0.983,0.998,0.964,0.962,0.009,0.0,0.0,0.0,110,0.0,0,random_forest,0.0,0.0,0,48.9,4.7,9.7,16,720,true,0.0,504,108,108,hp_set_08,0.962,0.980,0.004,1.72,0.267,O(n log n),256,treatment_group_b,publication

MODEL_057,EXP003,ensemble,training,excellent,0.921,0.921,0.910,0.926,0.933,0.960,0.914,0.910,0.017,0.298,0.315,0.328,78,0.0006,32,adam,0.007,0.11,18,85.7,11.2,18.3,16,720,true,0.0015,504,108,108,hp_set_09,0.904,0.938,0.012,1.19,0.189,O(n²),512,treatment_group_b,presentation
MODEL_058,EXP003,ensemble,validation,excellent,0.954,0.954,0.945,0.959,0.966,0.989,0.947,0.944,0.014,0.245,0.256,0.264,88,0.0004,32,adam,0.007,0.11,18,94.6,10.6,18.3,16,720,true,0.0012,504,108,108,hp_set_09,0.940,0.968,0.008,1.56,0.234,O(n²),512,treatment_group_b,presentation
MODEL_059,EXP003,ensemble,testing,excellent,0.976,0.976,0.968,0.981,0.988,0.997,0.969,0.967,0.011,0.189,0.196,0.201,96,0.0003,32,adam,0.007,0.11,18,101.8,10.1,18.3,16,720,true,0.0009,504,108,108,hp_set_09,0.965,0.987,0.005,1.89,0.267,O(n²),512,treatment_group_b,presentation
MODEL_060,EXP003,ensemble,final,excellent,0.991,0.991,0.985,0.995,0.998,1.000,0.984,0.983,0.008,0.143,0.147,0.150,100,0.0002,32,adam,0.007,0.11,18,107.3,9.8,18.3,16,720,true,0.0007,504,108,108,hp_set_09,0.983,0.999,0.002,2.23,0.294,O(n²),512,treatment_group_b,publication

MODEL_061,EXP004,linear_regression,training,poor,0.743,0.743,0.725,0.748,0.754,0.778,0.736,0.729,0.027,0.492,0.521,0.538,25,0.001,32,adam,0.01,0.0,10,12.9,2.9,1.2,14,550,true,0.0035,385,83,82,hp_set_10,0.716,0.770,0.056,0.31,0.003,O(n),128,control_group,presentation
MODEL_062,EXP004,linear_regression,validation,poor,0.761,0.761,0.743,0.766,0.772,0.796,0.754,0.748,0.025,0.438,0.463,0.478,35,0.0008,32,adam,0.01,0.0,10,19.1,2.7,1.2,14,550,true,0.0031,385,83,82,hp_set_10,0.736,0.786,0.048,0.41,0.021,O(n),128,control_group,presentation
MODEL_063,EXP004,linear_regression,testing,poor,0.786,0.786,0.769,0.791,0.797,0.821,0.779,0.774,0.021,0.389,0.408,0.421,45,0.0006,32,adam,0.01,0.0,10,26.4,2.5,1.2,14,550,true,0.0027,385,83,82,hp_set_10,0.765,0.807,0.037,0.56,0.046,O(n),128,control_group,presentation
MODEL_064,EXP004,linear_regression,final,good,0.812,0.812,0.796,0.817,0.823,0.847,0.805,0.801,0.017,0.334,0.349,0.360,50,0.0005,32,adam,0.01,0.0,10,30.2,2.4,1.2,14,550,true,0.0023,385,83,82,hp_set_10,0.795,0.829,0.028,0.71,0.072,O(n),128,control_group,publication

MODEL_065,EXP004,random_forest,training,good,0.823,0.823,0.808,0.829,0.836,0.861,0.816,0.811,0.023,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,46.8,7.2,8.3,14,550,true,0.0,385,83,82,hp_set_11,0.800,0.846,0.027,0.68,0.083,O(n log n),256,control_group,presentation
MODEL_066,EXP004,random_forest,validation,good,0.847,0.847,0.833,0.853,0.860,0.885,0.840,0.836,0.020,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,46.8,6.9,8.3,14,550,true,0.0,385,83,82,hp_set_11,0.827,0.867,0.023,0.78,0.107,O(n log n),256,control_group,presentation
MODEL_067,EXP004,random_forest,testing,excellent,0.873,0.873,0.860,0.879,0.886,0.911,0.866,0.862,0.017,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,46.8,6.6,8.3,14,550,true,0.0,385,83,82,hp_set_11,0.856,0.890,0.018,0.89,0.133,O(n log n),256,control_group,presentation
MODEL_068,EXP004,random_forest,final,excellent,0.896,0.896,0.884,0.902,0.909,0.934,0.889,0.885,0.014,0.0,0.0,0.0,100,0.0,0,random_forest,0.0,0.0,0,46.8,6.3,8.3,14,550,true,0.0,385,83,82,hp_set_11,0.882,0.910,0.013,1.02,0.156,O(n log n),256,control_group,publication

MODEL_069,EXP004,ensemble,training,excellent,0.856,0.856,0.842,0.863,0.870,0.897,0.849,0.844,0.021,0.378,0.402,0.417,75,0.0007,32,adam,0.005,0.1,15,80.3,14.8,15.7,14,550,true,0.0022,385,83,82,hp_set_12,0.835,0.877,0.019,0.82,0.116,O(n²),512,control_group,presentation
MODEL_070,EXP004,ensemble,validation,excellent,0.883,0.883,0.870,0.889,0.896,0.923,0.876,0.872,0.018,0.334,0.351,0.364,85,0.0005,32,adam,0.005,0.1,15,92.7,14.2,15.7,14,550,true,0.0019,385,83,82,hp_set_12,0.865,0.901,0.016,0.92,0.143,O(n²),512,control_group,presentation
MODEL_071,EXP004,ensemble,testing,excellent,0.911,0.911,0.899,0.917,0.924,0.951,0.904,0.901,0.015,0.289,0.301,0.312,95,0.0004,32,adam,0.005,0.1,15,100.9,13.7,15.7,14,550,true,0.0016,385,83,82,hp_set_12,0.896,0.926,0.012,1.11,0.171,O(n²),512,control_group,presentation
MODEL_072,EXP004,ensemble,final,excellent,0.938,0.938,0.927,0.943,0.950,0.977,0.931,0.928,0.012,0.245,0.254,0.261,100,0.0003,32,adam,0.005,0.1,15,106.4,13.1,15.7,14,550,true,0.0013,385,83,82,hp_set_12,0.926,0.950,0.008,1.31,0.198,O(n²),512,control_group,publication

MODEL_073,EXP005,linear_regression,training,excellent,0.889,0.889,0.876,0.895,0.902,0.929,0.882,0.878,0.017,0.312,0.334,0.349,32,0.0008,32,adam,0.013,0.0,12,16.8,2.3,1.2,20,900,true,0.0020,630,135,135,hp_set_13,0.872,0.906,0.015,0.97,0.167,O(n),128,combined_groups,publication
MODEL_074,EXP005,linear_regression,validation,excellent,0.923,0.923,0.912,0.928,0.935,0.962,0.916,0.913,0.014,0.256,0.269,0.281,44,0.0006,32,adam,0.013,0.0,12,23.7,2.1,1.2,20,900,true,0.0016,630,135,135,hp_set_13,0.909,0.937,0.011,1.23,0.201,O(n),128,combined_groups,publication
MODEL_075,EXP005,linear_regression,testing,excellent,0.952,0.952,0.943,0.957,0.964,0.989,0.945,0.942,0.011,0.198,0.207,0.214,52,0.0004,32,adam,0.013,0.0,12,29.1,1.9,1.2,20,900,true,0.0013,630,135,135,hp_set_13,0.941,0.963,0.007,1.51,0.234,O(n),128,combined_groups,publication
