enterprise_context_id,business_unit,department,project_code,experiment_id,condition_hierarchy,complex_condition_param,enterprise_tier,compliance_tier,approval_status,stakeholder_context,governance_framework,regulatory_status,audit_trail_id,roi_impact_score,decision_relevance_score,stakeholder_priority_level,business_value_score,implementation_complexity,strategic_alignment_score,resource_allocation_tier,budget_category,approval_workflow_stage,compliance_validation_status,enterprise_risk_assessment,data_governance_classification,visualization_purpose,chart_complexity_level,presentation_audience,executive_visibility,technical_depth_required,statistical_rigor_level,publication_readiness,peer_review_status,citation_worthiness,academic_impact_factor,industry_benchmark_relevance,competitive_intelligence_sensitivity,intellectual_property_classification,export_control_status,security_clearance_required,data_sensitivity_level,privacy_compliance_status,gdpr_compliance_status,hipaa_compliance_status,sox_compliance_status,iso_compliance_status,quality_assurance_level,validation_methodology,testing_coverage_percent,performance_benchmark_category,sla_compliance_status,uptime_requirement_percent,availability_tier,disaster_recovery_tier,backup_retention_policy,change_management_status,version_control_integration,ci_cd_pipeline_integration,deployment_automation_level,monitoring_dashboard_integration,alerting_configuration_status,log_aggregation_enabled,metrics_collection_enabled,observability_maturity_level,incident_response_integration,escalation_procedure_defined,on_call_rotation_assigned,service_level_agreement,operational_excellence_score,customer_impact_assessment,business_continuity_priority,market_differentiation_value,innovation_index_score,technology_maturity_level,scalability_assessment,maintainability_index,technical_debt_ratio,code_quality_score,documentation_completeness,test_automation_coverage,security_scan_status,vulnerability_assessment_score,penetration_test_status,compliance_audit_frequency,regulatory_reporting_requirements,enterprise_architecture_alignment,integration_complexity_score,data_lineage_documented,master_data_management_compliance,data_quality_score,metadata_management_status,data_catalog_integration,analytics_maturity_level,machine_learning_readiness,ai_governance_compliance,model_validation_status,algorithmic_bias_assessment,fairness_evaluation_status,explainability_requirement_level,interpretability_score,transparency_mandate_compliance,ethical_ai_framework_compliance,responsible_ai_principles_adoption
ENTCTX-2024-011,RiskManagement,Compliance,PROJ-RISK-2024-003,EXP-2024-011,riskmanagement.compliance.proj_risk_2024_003.anti_money_laundering_detection,riskmanagement.compliance.anti_money_laundering_detection,enterprise,tier_1,approved,compliance_committee,enterprise_risk_governance,compliant,AUDIT-ENT-011,0.96,0.97,critical,0.96,very_high,0.96,tier_1,regulatory_compliance,compliance_approved,validated,very_high_risk,highly_restricted,aml_detection,very_high,compliance_leadership,very_high,very_high,very_high,regulatory_submission,compliance_certified,very_high,0.93,very_high,highly_confidential,regulatory_filing,restricted,top_secret,aml_data,compliant,not_applicable,compliant,compliant,iso27001_certified,compliance_grade,continuous_monitoring,99.5,tier_1_performance,regulatory_compliant,99.99,tier_1,tier_1,permanent,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,expert,integrated,defined,assigned,regulatory_sla,0.98,very_high,mission_critical,very_high,0.97,cutting_edge,excellent,0.96,0.04,0.98,complete,99.5,passed,0.99,passed,real_time,aml_reporting,fully_aligned,0.96,documented,compliant,0.97,enterprise_managed,integrated,expert,production_ready,compliant,assessed,evaluated,compliant,very_high,0.96,compliant,compliant,adopted
ENTCTX-2024-012,ProductDevelopment,Innovation,PROJ-PROD-2024-004,EXP-2024-012,productdevelopment.innovation.proj_prod_2024_004.market_opportunity_analysis,productdevelopment.innovation.market_opportunity_analysis,enterprise,tier_2,pending_approval,innovation_committee,enterprise_innovation_governance,under_review,AUDIT-ENT-012,0.82,0.84,medium,0.83,medium,0.85,tier_2,innovation_investment,in_review,pending,medium_risk,confidential,market_analysis,medium,innovation_leadership,medium,medium,medium,prototype_ready,in_review,medium,0.75,medium,confidential,internal_use,exempt,confidential,market_data,compliant,not_applicable,not_applicable,not_applicable,iso27001_certified,standard,automated_testing,85.0,tier_2_performance,under_review,99.0,tier_2,tier_2,3_years,in_review,partial,partial,semi_automated,partial,in_progress,enabled,enabled,developing,partial,in_progress,pending,tier_2_sla,0.84,medium,medium,medium,0.78,developing,satisfactory,0.81,0.19,0.83,developing,85.0,in_progress,0.85,in_progress,quarterly,innovation_reporting,partially_aligned,0.79,in_progress,partial,0.82,developing,partial,developing,in_development,partial,in_progress,in_progress,partial,medium,0.81,partial,partial,in_progress
ENTCTX-2024-013,ProductDevelopment,Innovation,PROJ-PROD-2024-004,EXP-2024-013,productdevelopment.innovation.proj_prod_2024_004.competitive_intelligence_analysis,productdevelopment.innovation.competitive_intelligence_analysis,enterprise,tier_2,approved,strategy_committee,enterprise_innovation_governance,compliant,AUDIT-ENT-013,0.86,0.85,high,0.85,medium,0.87,tier_2,strategic_investment,approved,validated,medium_risk,highly_confidential,competitive_analysis,high,strategy_leadership,high,medium,high,strategic_ready,validated,high,0.79,high,highly_confidential,trade_secret,controlled,secret,competitive_data,compliant,not_applicable,not_applicable,not_applicable,iso27001_certified,enterprise_grade,automated_testing,88.5,tier_2_performance,sla_compliant,99.3,tier_2,tier_2,5_years,approved,integrated,integrated,semi_automated,integrated,configured,enabled,enabled,standard,integrated,defined,assigned,tier_2_sla,0.87,high,high,high,0.83,mature,good,0.85,0.15,0.87,good,88.0,passed,0.88,passed,quarterly,competitive_reporting,aligned,0.82,documented,compliant,0.86,managed,integrated,intermediate,ready,compliant,assessed,evaluated,compliant,high,0.85,compliant,compliant,adopted
ENTCTX-2024-014,ProductDevelopment,Innovation,PROJ-PROD-2024-004,EXP-2024-014,productdevelopment.innovation.proj_prod_2024_004.customer_feedback_sentiment_analysis,productdevelopment.innovation.customer_feedback_sentiment_analysis,enterprise,tier_2,approved,product_committee,enterprise_innovation_governance,compliant,AUDIT-ENT-014,0.84,0.86,high,0.85,medium,0.86,tier_2,customer_experience,approved,validated,low_risk,confidential,sentiment_analysis,medium,product_leadership,medium,medium,medium,dashboard_ready,validated,medium,0.77,medium,confidential,internal_use,exempt,confidential,customer_feedback,compliant,compliant,not_applicable,not_applicable,iso27001_certified,standard,automated_testing,87.2,tier_2_performance,sla_compliant,99.2,tier_2,tier_2,3_years,approved,integrated,integrated,semi_automated,integrated,configured,enabled,enabled,standard,integrated,defined,assigned,tier_2_sla,0.86,medium,high,medium,0.80,mature,good,0.84,0.16,0.86,good,87.0,passed,0.87,passed,quarterly,customer_experience_reporting,aligned,0.81,documented,compliant,0.85,managed,integrated,intermediate,ready,compliant,assessed,evaluated,compliant,medium,0.84,compliant,compliant,adopted
ENTCTX-2024-015,FinancialServices,Trading,PROJ-FIN-2024-005,EXP-2024-015,financialservices.trading.proj_fin_2024_005.algorithmic_trading_optimization,financialservices.trading.algorithmic_trading_optimization,enterprise,tier_1,approved,trading_committee,enterprise_financial_governance,compliant,AUDIT-ENT-015,0.98,0.97,critical,0.98,very_high,0.98,tier_1,revenue_generation,trading_approved,validated,very_high_risk,highly_restricted,algorithmic_trading,very_high,trading_leadership,very_high,very_high,very_high,production_ready,trading_validated,very_high,0.95,very_high,highly_confidential,proprietary_algorithm,restricted,top_secret,trading_data,compliant,not_applicable,compliant,compliant,iso27001_certified,trading_grade,real_time_monitoring,99.8,tier_1_performance,sla_compliant,99.999,tier_1,tier_1,permanent,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,expert,integrated,defined,assigned,trading_sla,0.99,very_high,mission_critical,very_high,0.98,cutting_edge,excellent,0.98,0.02,0.99,complete,99.8,passed,0.99,passed,continuous,trading_reporting,fully_aligned,0.98,documented,compliant,0.98,enterprise_managed,integrated,expert,production_ready,compliant,assessed,evaluated,compliant,very_high,0.98,compliant,compliant,adopted
ENTCTX-2024-016,FinancialServices,Trading,PROJ-FIN-2024-005,EXP-2024-016,financialservices.trading.proj_fin_2024_005.market_microstructure_analysis,financialservices.trading.market_microstructure_analysis,enterprise,tier_1,approved,market_risk_committee,enterprise_financial_governance,compliant,AUDIT-ENT-016,0.93,0.94,critical,0.94,very_high,0.94,tier_1,risk_management,risk_approved,validated,very_high_risk,highly_restricted,market_microstructure,very_high,risk_leadership,very_high,very_high,very_high,research_ready,risk_validated,very_high,0.88,very_high,highly_confidential,proprietary_research,restricted,top_secret,market_data,compliant,not_applicable,compliant,compliant,iso27001_certified,research_grade,automated_validation,97.5,tier_1_performance,sla_compliant,99.9,tier_1,tier_1,permanent,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,expert,integrated,defined,assigned,research_sla,0.95,very_high,critical,very_high,0.91,cutting_edge,excellent,0.93,0.07,0.95,complete,97.0,passed,0.97,passed,daily,market_risk_reporting,fully_aligned,0.91,documented,compliant,0.94,enterprise_managed,integrated,expert,production_ready,compliant,assessed,evaluated,compliant,very_high,0.93,compliant,compliant,adopted
ENTCTX-2024-017,FinancialServices,Trading,PROJ-FIN-2024-005,EXP-2024-017,financialservices.trading.proj_fin_2024_005.portfolio_risk_attribution_modeling,financialservices.trading.portfolio_risk_attribution_modeling,enterprise,tier_1,approved,investment_committee,enterprise_financial_governance,compliant,AUDIT-ENT-017,0.95,0.96,critical,0.95,very_high,0.96,tier_1,risk_management,investment_approved,validated,very_high_risk,highly_restricted,risk_attribution,very_high,investment_leadership,very_high,very_high,very_high,investment_ready,investment_validated,very_high,0.92,very_high,highly_confidential,proprietary_model,restricted,top_secret,portfolio_data,compliant,not_applicable,compliant,compliant,iso27001_certified,investment_grade,continuous_validation,98.8,tier_1_performance,sla_compliant,99.95,tier_1,tier_1,permanent,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,expert,integrated,defined,assigned,investment_sla,0.97,very_high,mission_critical,very_high,0.94,cutting_edge,excellent,0.95,0.05,0.97,complete,98.5,passed,0.98,passed,real_time,investment_reporting,fully_aligned,0.94,documented,compliant,0.96,enterprise_managed,integrated,expert,production_ready,compliant,assessed,evaluated,compliant,very_high,0.95,compliant,compliant,adopted
ENTCTX-2024-018,Operations,SupplyChain,PROJ-OPS-2024-006,EXP-2024-018,operations.supplychain.proj_ops_2024_006.demand_forecasting_optimization,operations.supplychain.demand_forecasting_optimization,enterprise,tier_2,approved,operations_committee,enterprise_operations_governance,compliant,AUDIT-ENT-018,0.87,0.89,high,0.88,medium,0.89,tier_2,operational_efficiency,operations_approved,validated,medium_risk,confidential,demand_forecasting,high,operations_leadership,medium,high,high,operations_ready,operations_validated,high,0.81,high,confidential,internal_use,exempt,confidential,supply_chain_data,compliant,not_applicable,not_applicable,not_applicable,iso27001_certified,operations_grade,automated_testing,91.0,tier_2_performance,sla_compliant,99.5,tier_2,tier_2,5_years,approved,integrated,integrated,semi_automated,integrated,configured,enabled,enabled,standard,integrated,defined,assigned,operations_sla,0.89,high,high,high,0.84,mature,good,0.87,0.13,0.89,good,91.0,passed,0.91,passed,weekly,operations_reporting,aligned,0.85,documented,compliant,0.88,managed,integrated,intermediate,ready,compliant,assessed,evaluated,compliant,high,0.87,compliant,compliant,adopted
ENTCTX-2024-019,Operations,SupplyChain,PROJ-OPS-2024-006,EXP-2024-019,operations.supplychain.proj_ops_2024_006.inventory_optimization_modeling,operations.supplychain.inventory_optimization_modeling,enterprise,tier_2,approved,supply_chain_committee,enterprise_operations_governance,compliant,AUDIT-ENT-019,0.85,0.87,high,0.86,medium,0.87,tier_2,cost_optimization,supply_chain_approved,validated,medium_risk,confidential,inventory_optimization,high,supply_chain_leadership,medium,high,high,operations_ready,supply_chain_validated,high,0.79,high,confidential,internal_use,exempt,confidential,inventory_data,compliant,not_applicable,not_applicable,not_applicable,iso27001_certified,operations_grade,automated_testing,89.5,tier_2_performance,sla_compliant,99.3,tier_2,tier_2,5_years,approved,integrated,integrated,semi_automated,integrated,configured,enabled,enabled,standard,integrated,defined,assigned,operations_sla,0.87,high,high,high,0.82,mature,good,0.85,0.15,0.87,good,89.0,passed,0.89,passed,weekly,supply_chain_reporting,aligned,0.83,documented,compliant,0.86,managed,integrated,intermediate,ready,compliant,assessed,evaluated,compliant,high,0.85,compliant,compliant,adopted
ENTCTX-2024-020,Operations,SupplyChain,PROJ-OPS-2024-006,EXP-2024-020,operations.supplychain.proj_ops_2024_006.vendor_performance_analytics,operations.supplychain.vendor_performance_analytics,enterprise,tier_2,approved,procurement_committee,enterprise_operations_governance,compliant,AUDIT-ENT-020,0.83,0.85,medium,0.84,medium,0.85,tier_2,vendor_management,procurement_approved,validated,low_risk,confidential,vendor_analytics,medium,procurement_leadership,medium,medium,medium,dashboard_ready,procurement_validated,medium,0.76,medium,confidential,internal_use,exempt,confidential,vendor_data,compliant,not_applicable,not_applicable,not_applicable,iso27001_certified,standard,automated_testing,86.8,tier_2_performance,sla_compliant,99.0,tier_2,tier_2,3_years,approved,integrated,integrated,semi_automated,integrated,configured,enabled,enabled,standard,integrated,defined,assigned,procurement_sla,0.85,medium,medium,medium,0.79,mature,good,0.83,0.17,0.85,good,86.5,passed,0.87,passed,monthly,procurement_reporting,aligned,0.80,documented,compliant,0.84,managed,integrated,intermediate,ready,compliant,assessed,evaluated,compliant,medium,0.83,compliant,compliant,adopted
ENTCTX-2024-021,CyberSecurity,ThreatIntelligence,PROJ-SEC-2024-007,EXP-2024-021,cybersecurity.threatintelligence.proj_sec_2024_007.advanced_persistent_threat_detection,cybersecurity.threatintelligence.advanced_persistent_threat_detection,enterprise,tier_1,approved,security_committee,enterprise_security_governance,compliant,AUDIT-ENT-021,0.96,0.98,critical,0.97,very_high,0.98,tier_1,security_protection,security_approved,validated,very_high_risk,top_secret,threat_detection,very_high,ciso_leadership,very_high,very_high,very_high,security_ready,security_validated,very_high,0.93,very_high,top_secret,classified_system,restricted,top_secret,threat_intelligence,compliant,not_applicable,not_applicable,compliant,iso27001_certified,security_grade,continuous_monitoring,99.0,tier_1_performance,security_compliant,99.99,tier_1,tier_1,permanent,approved,integrated,integrated,fully_automated,integrated,configured,enabled,enabled,expert,integrated,defined,assigned,security_sla,0.98,very_high,mission_critical,very_high,0.96,cutting_edge,excellent,0.96,0.04,0.98,complete,99.0,passed,0.99,passed,real_time,security_reporting,fully_aligned,0.95,documented,compliant,0.97,enterprise_managed,integrated,expert,production_ready,compliant,assessed,evaluated,compliant,very_high,0.96,compliant,compliant,adopted
