sample_id,treatment_group,measurement_type,result_value,time_point_days,dose_mg_kg,replicate,experiment_id,researcher,measurement_unit,quality_flag,statistical_significance
S020,high_dose,efficacy_primary,69.8,0,50,2,EXP-004,Dr. Sarah Chen,percent_inhibition,pass,highly_significant
S021,high_dose,efficacy_primary,75.6,0,50,3,EXP-004,Dr. Sarah Chen,percent_inhibition,pass,highly_significant
S022,high_dose,toxicity_endpoint,1.5,0,50,1,EXP-004,Dr. Sarah Chen,cell_viability_fold,pass,trending
S023,high_dose,toxicity_endpoint,1.4,0,50,2,EXP-004,Dr. Sarah Chen,cell_viability_fold,pass,trending
S024,high_dose,toxicity_endpoint,1.6,0,50,3,EXP-004,Dr. Sarah Chen,cell_viability_fold,pass,trending
S025,control,biomarker_expression,100.0,1,0,1,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S026,control,biomarker_expression,98.5,1,0,2,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S027,control,biomarker_expression,101.2,1,0,3,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S028,control,biomarker_expression,102.3,7,0,1,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S029,control,biomarker_expression,99.1,7,0,2,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S030,control,biomarker_expression,100.8,7,0,3,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S031,control,biomarker_expression,98.9,14,0,1,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S032,control,biomarker_expression,101.5,14,0,2,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S033,control,biomarker_expression,99.7,14,0,3,EXP-005,Dr. Marcus Rodriguez,relative_expression,pass,baseline
S034,treatment_A,biomarker_expression,135.2,1,10,1,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,significant
S035,treatment_A,biomarker_expression,142.7,1,10,2,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,significant
S036,treatment_A,biomarker_expression,128.9,1,10,3,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,significant
S037,treatment_A,biomarker_expression,189.3,7,10,1,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,highly_significant
S038,treatment_A,biomarker_expression,195.1,7,10,2,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,highly_significant
S039,treatment_A,biomarker_expression,182.4,7,10,3,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,highly_significant
S040,treatment_A,biomarker_expression,156.7,14,10,1,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,significant
S041,treatment_A,biomarker_expression,163.2,14,10,2,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,significant
S042,treatment_A,biomarker_expression,149.8,14,10,3,EXP-006,Dr. Marcus Rodriguez,relative_expression,pass,significant
S043,treatment_B,biomarker_expression,118.4,1,25,1,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,trending
S044,treatment_B,biomarker_expression,125.6,1,25,2,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,trending
S045,treatment_B,biomarker_expression,112.3,1,25,3,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,trending
S046,treatment_B,biomarker_expression,167.8,7,25,1,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,significant
S047,treatment_B,biomarker_expression,172.5,7,25,2,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,significant
S048,treatment_B,biomarker_expression,161.2,7,25,3,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,significant
S049,treatment_B,biomarker_expression,145.3,14,25,1,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,trending
S050,treatment_B,biomarker_expression,151.9,14,25,2,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,trending
S051,treatment_B,biomarker_expression,138.7,14,25,3,EXP-007,Dr. Marcus Rodriguez,relative_expression,pass,trending
S052,control,response_rate,8.2,0,0,1,EXP-008,Dr. Lisa Park,response_units,pass,baseline
S053,control,response_rate,7.9,0,0,2,EXP-008,Dr. Lisa Park,response_units,pass,baseline
S054,control,response_rate,8.5,0,0,3,EXP-008,Dr. Lisa Park,response_units,pass,baseline
S055,control,response_rate,8.1,0,0,4,EXP-008,Dr. Lisa Park,response_units,pass,baseline
S056,control,response_rate,8.3,0,0,5,EXP-008,Dr. Lisa Park,response_units,pass,baseline
S057,treatment_A,response_rate,15.7,0,20,1,EXP-009,Dr. Lisa Park,response_units,pass,highly_significant
S058,treatment_A,response_rate,16.3,0,20,2,EXP-009,Dr. Lisa Park,response_units,pass,highly_significant
S059,treatment_A,response_rate,14.9,0,20,3,EXP-009,Dr. Lisa Park,response_units,pass,highly_significant
S060,treatment_A,response_rate,15.2,0,20,4,EXP-009,Dr. Lisa Park,response_units,pass,highly_significant
S061,treatment_A,response_rate,16.1,0,20,5,EXP-009,Dr. Lisa Park,response_units,pass,highly_significant
S062,treatment_B,response_rate,12.4,0,15,1,EXP-010,Dr. Lisa Park,response_units,pass,significant
S063,treatment_B,response_rate,13.1,0,15,2,EXP-010,Dr. Lisa Park,response_units,pass,significant
S064,treatment_B,response_rate,11.8,0,15,3,EXP-010,Dr. Lisa Park,response_units,pass,significant
S065,treatment_B,response_rate,12.7,0,15,4,EXP-010,Dr. Lisa Park,response_units,pass,significant
S066,treatment_B,response_rate,12.9,0,15,5,EXP-010,Dr. Lisa Park,response_units,pass,significant
S067,control,motor_function,100.0,0,0,1,EXP-011,Dr. James Wilson,function_score,pass,baseline
S068,control,motor_function,102.3,0,0,2,EXP-011,Dr. James Wilson,function_score,pass,baseline
S069,control,motor_function,98.7,0,0,3,EXP-011,Dr. James Wilson,function_score,pass,baseline
S070,control,motor_function,101.4,30,0,1,EXP-011,Dr. James Wilson,function_score,pass,baseline
S071,control,motor_function,99.8,30,0,2,EXP-011,Dr. James Wilson,function_score,pass,baseline
S072,control,motor_function,100.2,30,0,3,EXP-011,Dr. James Wilson,function_score,pass,baseline
S073,control,motor_function,98.5,60,0,1,EXP-011,Dr. James Wilson,function_score,pass,baseline
S074,control,motor_function,101.1,60,0,2,EXP-011,Dr. James Wilson,function_score,pass,baseline
S075,control,motor_function,99.6,60,0,3,EXP-011,Dr. James Wilson,function_score,pass,baseline
S076,intervention,motor_function,103.2,0,30,1,EXP-012,Dr. James Wilson,function_score,pass,ns
S077,intervention,motor_function,105.1,0,30,2,EXP-012,Dr. James Wilson,function_score,pass,ns
S078,intervention,motor_function,101.8,0,30,3,EXP-012,Dr. James Wilson,function_score,pass,ns
S079,intervention,motor_function,115.7,30,30,1,EXP-012,Dr. James Wilson,function_score,pass,significant
S080,intervention,motor_function,118.3,30,30,2,EXP-012,Dr. James Wilson,function_score,pass,significant
S081,intervention,motor_function,112.4,30,30,3,EXP-012,Dr. James Wilson,function_score,pass,significant
S082,intervention,motor_function,124.6,60,30,1,EXP-012,Dr. James Wilson,function_score,pass,highly_significant
S083,intervention,motor_function,127.9,60,30,2,EXP-012,Dr. James Wilson,function_score,pass,highly_significant
S084,intervention,motor_function,121.3,60,30,3,EXP-012,Dr. James Wilson,function_score,pass,highly_significant
S085,vehicle,survival_days,28.3,0,0,1,EXP-013,Dr. Emily Zhang,days,pass,control
S086,vehicle,survival_days,29.1,0,0,2,EXP-013,Dr. Emily Zhang,days,pass,control
S087,vehicle,survival_days,27.8,0,0,3,EXP-013,Dr. Emily Zhang,days,pass,control
S088,vehicle,survival_days,28.9,0,0,4,EXP-013,Dr. Emily Zhang,days,pass,control
S089,vehicle,survival_days,28.5,0,0,5,EXP-013,Dr. Emily Zhang,days,pass,control
S090,low_dose,survival_days,26.7,0,5,1,EXP-014,Dr. Emily Zhang,days,pass,ns
S091,low_dose,survival_days,27.4,0,5,2,EXP-014,Dr. Emily Zhang,days,pass,ns
S092,low_dose,survival_days,25.9,0,5,3,EXP-014,Dr. Emily Zhang,days,pass,ns
S093,low_dose,survival_days,26.8,0,5,4,EXP-014,Dr. Emily Zhang,days,pass,ns
S094,low_dose,survival_days,27.1,0,5,5,EXP-014,Dr. Emily Zhang,days,pass,ns
S095,high_dose,survival_days,22.4,0,50,1,EXP-015,Dr. Emily Zhang,days,pass,significant
S096,high_dose,survival_days,21.8,0,50,2,EXP-015,Dr. Emily Zhang,days,pass,significant
S097,high_dose,survival_days,23.1,0,50,3,EXP-015,Dr. Emily Zhang,days,pass,significant
S098,high_dose,survival_days,22.7,0,50,4,EXP-015,Dr. Emily Zhang,days,pass,significant
S099,high_dose,survival_days,22.2,0,50,5,EXP-015,Dr. Emily Zhang,days,pass,significant
S100,control,protein_binding,85.2,0,0,1,EXP-016,Dr. Alex Kumar,percent_bound,pass,baseline
S101,control,protein_binding,87.4,0,0,2,EXP-016,Dr. Alex Kumar,percent_bound,pass,baseline
S102,control,protein_binding,83.9,0,0,3,EXP-016,Dr. Alex Kumar,percent_bound,pass,baseline
S103,treatment,protein_binding,92.7,0,40,1,EXP-017,Dr. Alex Kumar,percent_bound,pass,significant
S104,treatment,protein_binding,94.1,0,40,2,EXP-017,Dr. Alex Kumar,percent_bound,pass,significant
S105,treatment,protein_binding,91.3,0,40,3,EXP-017,Dr. Alex Kumar,percent_bound,pass,significant
S106,inhibitor_A,enzyme_activity,23.4,0,10,1,EXP-018,Dr. Rachel Foster,activity_units,pass,highly_significant
S107,inhibitor_A,enzyme_activity,25.7,0,10,2,EXP-018,Dr. Rachel Foster,activity_units,pass,highly_significant
S108,inhibitor_A,enzyme_activity,21.9,0,10,3,EXP-018,Dr. Rachel Foster,activity_units,pass,highly_significant
S109,inhibitor_B,enzyme_activity,18.6,0,15,1,EXP-019,Dr. Rachel Foster,activity_units,pass,highly_significant
S110,inhibitor_B,enzyme_activity,19.8,0,15,2,EXP-019,Dr. Rachel Foster,activity_units,pass,highly_significant
S111,inhibitor_B,enzyme_activity,17.2,0,15,3,EXP-019,Dr. Rachel Foster,activity_units,pass,highly_significant
S112,mono_A,synergy_index,1.1,0,25,1,EXP-020,Dr. David Lee,interaction_ratio,pass,additive
S113,mono_A,synergy_index,1.0,0,25,2,EXP-020,Dr. David Lee,interaction_ratio,pass,additive
S114,mono_A,synergy_index,1.2,0,25,3,EXP-020,Dr. David Lee,interaction_ratio,pass,additive
S115,mono_B,synergy_index,0.9,0,15,1,EXP-021,Dr. David Lee,interaction_ratio,pass,additive
S116,mono_B,synergy_index,1.1,0,15,2,EXP-021,Dr. David Lee,interaction_ratio,pass,additive
S117,mono_B,synergy_index,1.0,0,15,3,EXP-021,Dr. David Lee,interaction_ratio,pass,additive
S118,combo_low,synergy_index,1.8,0,40,1,EXP-022,Dr. David Lee,interaction_ratio,pass,synergistic
S119,combo_low,synergy_index,1.9,0,40,2,EXP-022,Dr. David Lee,interaction_ratio,pass,synergistic
S120,combo_low,synergy_index,1.7,0,40,3,EXP-022,Dr. David Lee,interaction_ratio,pass,synergistic
S121,combo_high,synergy_index,2.4,0,80,1,EXP-023,Dr. David Lee,interaction_ratio,pass,highly_synergistic
S122,combo_high,synergy_index,2.6,0,80,2,EXP-023,Dr. David Lee,interaction_ratio,pass,highly_synergistic
S123,combo_high,synergy_index,2.2,0,80,3,EXP-023,Dr. David Lee,interaction_ratio,pass,highly_synergistic
S124,single_dose,plasma_concentration,45.3,0.25,100,1,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S125,single_dose,plasma_concentration,42.8,0.25,100,2,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S126,single_dose,plasma_concentration,47.1,0.25,100,3,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S127,single_dose,plasma_concentration,38.9,0.5,100,1,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S128,single_dose,plasma_concentration,41.2,0.5,100,2,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S129,single_dose,plasma_concentration,36.7,0.5,100,3,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S130,single_dose,plasma_concentration,28.4,1,100,1,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S131,single_dose,plasma_concentration,30.1,1,100,2,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S132,single_dose,plasma_concentration,26.8,1,100,3,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S133,single_dose,plasma_concentration,15.2,2,100,1,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S134,single_dose,plasma_concentration,16.7,2,100,2,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S135,single_dose,plasma_concentration,13.9,2,100,3,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S136,single_dose,plasma_concentration,8.3,4,100,1,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S137,single_dose,plasma_concentration,9.1,4,100,2,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S138,single_dose,plasma_concentration,7.6,4,100,3,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S139,single_dose,plasma_concentration,3.4,8,100,1,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S140,single_dose,plasma_concentration,3.8,8,100,2,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S141,single_dose,plasma_concentration,3.1,8,100,3,EXP-024,Dr. Maria Santos,ng_ml,pass,pk_profile
S142,multiple_dose,plasma_concentration,62.7,0.25,100,1,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
S143,multiple_dose,plasma_concentration,65.4,0.25,100,2,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
S144,multiple_dose,plasma_concentration,59.8,0.25,100,3,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
S145,multiple_dose,plasma_concentration,58.3,0.5,100,1,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
S146,multiple_dose,plasma_concentration,61.1,0.5,100,2,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
S147,multiple_dose,plasma_concentration,55.9,0.5,100,3,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
S148,multiple_dose,plasma_concentration,52.6,1,100,1,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
S149,multiple_dose,plasma_concentration,54.8,1,100,2,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
S150,multiple_dose,plasma_concentration,50.4,1,100,3,EXP-025,Dr. Maria Santos,ng_ml,pass,steady_state
