experiment_id,timestamp,condition,measurement_value,measurement_error,quality_flag,timepoint_label,replicate_id,dose_level,researcher_notes
EXP-003,2024-01-15T09:00:00,treatment_B,1.24,0.07,high,baseline,2,15.0,"Replicate 2 treatment B baseline - manual pattern coordination"
EXP-003,2024-01-15T12:00:00,treatment_B,1.55,0.13,high,3h,2,15.0,"Replicate 2 treatment B 3h - strong early response"
EXP-003,2024-01-15T18:00:00,treatment_B,2.19,0.18,high,9h,2,15.0,"Replicate 2 treatment B 9h - robust response replication"
EXP-003,2024-01-16T09:00:00,treatment_B,2.82,0.23,high,24h,2,15.0,"Replicate 2 treatment B 24h - maximum response replication"
EXP-003,2024-01-17T09:00:00,treatment_B,2.41,0.20,high,48h,2,15.0,"Replicate 2 treatment B 48h - consistent decline pattern"
EXP-003,2024-01-18T09:00:00,treatment_B,1.98,0.16,high,72h,2,15.0,"Replicate 2 treatment B 72h - sustained elevation confirmed"
EXP-004,2024-01-15T09:00:00,treatment_C,1.25,0.08,high,baseline,2,50.0,"Replicate 2 treatment C baseline - manual styling for dose visualization"
EXP-004,2024-01-15T12:00:00,treatment_C,1.69,0.15,high,3h,2,50.0,"Replicate 2 treatment C 3h - rapid onset replication"
EXP-004,2024-01-15T18:00:00,treatment_C,2.79,0.24,high,9h,2,50.0,"Replicate 2 treatment C 9h - dramatic response confirmed"
EXP-004,2024-01-16T09:00:00,treatment_C,3.41,0.30,high,24h,2,50.0,"Replicate 2 treatment C 24h - peak response replication"
EXP-004,2024-01-17T09:00:00,treatment_C,2.85,0.25,high,48h,2,50.0,"Replicate 2 treatment C 48h - sustained high level"
EXP-004,2024-01-18T09:00:00,treatment_C,2.31,0.20,high,72h,2,50.0,"Replicate 2 treatment C 72h - gradual decline pattern"
EXP-005,2024-02-01T08:00:00,control,0.95,0.06,high,day_0,1,0.0,"Time course study control day 0 - manual baseline styling"
EXP-005,2024-02-02T08:00:00,control,0.97,0.07,high,day_1,1,0.0,"Time course control day 1 - manual daily marker progression"
EXP-005,2024-02-03T08:00:00,control,0.94,0.06,high,day_2,1,0.0,"Time course control day 2 - manual trend line styling"
EXP-005,2024-02-08T08:00:00,control,0.99,0.08,high,day_7,1,0.0,"Time course control day 7 - weekly timepoint manual styling"
EXP-005,2024-02-15T08:00:00,control,1.01,0.07,high,day_14,1,0.0,"Time course control day 14 - manual annotation for timepoints"
EXP-005,2024-02-29T08:00:00,control,0.98,0.08,medium,day_28,1,0.0,"Time course control day 28 - final timepoint with quality note"
EXP-006,2024-02-01T08:00:00,treatment_A,0.96,0.07,high,day_0,1,10.0,"Time course treatment A day 0 - manual treatment group styling"
EXP-006,2024-02-02T08:00:00,treatment_A,1.23,0.10,high,day_1,1,10.0,"Time course treatment A day 1 - early response, manual highlighting"
EXP-006,2024-02-03T08:00:00,treatment_A,1.45,0.12,high,day_2,1,10.0,"Time course treatment A day 2 - continued increase"
EXP-006,2024-02-08T08:00:00,treatment_A,1.89,0.15,high,day_7,1,10.0,"Time course treatment A day 7 - sustained elevation"
EXP-006,2024-02-15T08:00:00,treatment_A,2.12,0.17,high,day_14,1,10.0,"Time course treatment A day 14 - plateau phase"
EXP-006,2024-02-29T08:00:00,treatment_A,1.95,0.16,high,day_28,1,10.0,"Time course treatment A day 28 - slight decline from peak"
EXP-007,2024-02-01T08:00:00,treatment_B,0.94,0.06,high,day_0,1,25.0,"Time course treatment B day 0 - manual dose-dependent styling"
EXP-007,2024-02-02T08:00:00,treatment_B,1.35,0.11,high,day_1,1,25.0,"Time course treatment B day 1 - stronger early response"
EXP-007,2024-02-03T08:00:00,treatment_B,1.72,0.14,high,day_2,1,25.0,"Time course treatment B day 2 - robust increase"
EXP-007,2024-02-08T08:00:00,treatment_B,2.34,0.19,high,day_7,1,25.0,"Time course treatment B day 7 - strong sustained response"
EXP-007,2024-02-15T08:00:00,treatment_B,2.67,0.22,high,day_14,1,25.0,"Time course treatment B day 14 - continued elevation"
EXP-007,2024-02-29T08:00:00,treatment_B,2.41,0.20,high,day_28,1,25.0,"Time course treatment B day 28 - maintained high level"
EXP-008,2024-03-01T09:00:00,control,2.15,0.14,high,endpoint,1,0.0,"Comparative study control endpoint - manual publication styling"
EXP-008,2024-03-01T09:00:00,control,2.08,0.13,high,endpoint,2,0.0,"Comparative control replicate 2 - manual consistency checking"
EXP-008,2024-03-01T09:00:00,control,2.12,0.14,high,endpoint,3,0.0,"Comparative control replicate 3 - manual statistical annotation"
EXP-009,2024-03-01T09:00:00,treatment_A,2.89,0.19,high,endpoint,1,20.0,"Comparative treatment A endpoint - manual significance marking"
EXP-009,2024-03-01T09:00:00,treatment_A,2.76,0.18,high,endpoint,2,20.0,"Comparative treatment A replicate 2 - manual bar chart styling"
EXP-009,2024-03-01T09:00:00,treatment_A,2.94,0.20,high,endpoint,3,20.0,"Comparative treatment A replicate 3 - manual error bar styling"
EXP-010,2024-03-01T09:00:00,treatment_B,3.45,0.23,high,endpoint,1,40.0,"Comparative treatment B endpoint - manual dose comparison styling"
EXP-010,2024-03-01T09:00:00,treatment_B,3.38,0.22,high,endpoint,2,40.0,"Comparative treatment B replicate 2 - manual pattern fill"
EXP-010,2024-03-01T09:00:00,treatment_B,3.52,0.24,high,endpoint,3,40.0,"Comparative treatment B replicate 3 - manual legend formatting"
EXP-011,2024-04-01T08:00:00,control,1.45,0.09,high,week_0,1,0.0,"Longitudinal control week 0 - manual trajectory styling"
EXP-011,2024-04-08T08:00:00,control,1.48,0.10,high,week_1,1,0.0,"Longitudinal control week 1 - manual confidence interval styling"
EXP-011,2024-04-15T08:00:00,control,1.43,0.09,high,week_2,1,0.0,"Longitudinal control week 2 - stable baseline pattern"
EXP-011,2024-04-29T08:00:00,control,1.51,0.10,high,week_4,1,0.0,"Longitudinal control week 4 - manual spline fitting"
EXP-011,2024-05-13T08:00:00,control,1.46,0.09,high,week_6,1,0.0,"Longitudinal control week 6 - manual trend annotation"
EXP-011,2024-05-27T08:00:00,control,1.49,0.11,medium,week_8,1,0.0,"Longitudinal control week 8 - quality flag for equipment issue"
EXP-011,2024-06-24T08:00:00,control,1.52,0.10,high,week_12,1,0.0,"Longitudinal control week 12 - final timepoint styling"
EXP-012,2024-04-01T08:00:00,treatment_A,1.44,0.09,high,week_0,1,15.0,"Longitudinal treatment A week 0 - manual intervention styling"
EXP-012,2024-04-08T08:00:00,treatment_A,1.67,0.12,high,week_1,1,15.0,"Longitudinal treatment A week 1 - early intervention response"
EXP-012,2024-04-15T08:00:00,treatment_A,1.92,0.14,high,week_2,1,15.0,"Longitudinal treatment A week 2 - building response"
EXP-012,2024-04-29T08:00:00,treatment_A,2.34,0.17,high,week_4,1,15.0,"Longitudinal treatment A week 4 - robust response phase"
EXP-012,2024-05-13T08:00:00,treatment_A,2.67,0.20,high,week_6,1,15.0,"Longitudinal treatment A week 6 - peak response period"
EXP-012,2024-05-27T08:00:00,treatment_A,2.89,0.22,high,week_8,1,15.0,"Longitudinal treatment A week 8 - sustained high response"
EXP-012,2024-06-24T08:00:00,treatment_A,2.71,0.21,high,week_12,1,15.0,"Longitudinal treatment A week 12 - maintained elevation"
