# Advanced ML Experiment Results Matrix for FigRegistry-Kedro Integration
# ============================================================================
#
# This comprehensive experimental dataset demonstrates the sophisticated 
# capabilities of the figregistry-kedro plugin integration for automated
# visualization styling, complex condition-based resolution, and multi-environment
# deployment patterns within enterprise data science workflows.
#
# Dataset Purpose:
# - Showcase hierarchical condition matching with F-002-RQ-002 wildcard support
# - Demonstrate environment-specific configuration overrides per F-007-RQ-001/002
# - Provide comprehensive statistical data for publication-quality visualizations
# - Enable FigureDataSet parameter injection and context resolution per F-005-RQ-004
# - Support Kedro versioning integration for experiment tracking per F-005-RQ-002
#
# Key Features Demonstrated:
# ✓ Complex experimental condition hierarchies (algorithm.hyperparameter.environment)
# ✓ Multi-algorithm comparison across baseline/candidate/champion model types
# ✓ Statistical significance testing with p-values and confidence intervals
# ✓ A/B testing framework with treatment groups and control conditions
# ✓ Environment-specific performance metrics (development, staging, production)
# ✓ Hyperparameter optimization results with convergence analysis
# ✓ Model interpretability metrics and feature importance rankings
# ✓ Performance monitoring with SLA compliance tracking
# ✓ Publication-ready statistical summaries with effect sizes
# ✓ Enterprise compliance metrics for governance and audit requirements
#
# Condition Resolution Examples:
# - experiment_id="baseline_logistic_regression_dev" → training.model.baseline.development
# - algorithm="random_forest" + model_type="champion" → training.model.champion + training.model.random_forest
# - environment="production" + performance_tier="high" → *.production + performance.target
# - statistical_significance="p001" → result.significant.p001
# - treatment_group="group_a" → experiment.treatment.group_a
#
# Statistical Data Completeness:
# - Performance metrics: accuracy, precision, recall, f1_score, auc_roc
# - Statistical measures: mean, std_dev, confidence_interval_lower/upper
# - Significance testing: p_value, effect_size, statistical_power
# - Experimental design: sample_size, cross_validation_folds, random_seed
# - Quality metrics: data_quality_score, model_stability_index
#
# Environment Integration:
# - Development: Debug-enabled metrics with verbose diagnostics
# - Staging: Validation-focused metrics with quality gates
# - Production: Performance-optimized metrics with SLA monitoring
#
# Data Schema and Format:
# Comma-separated values with comprehensive metadata columns designed to
# trigger sophisticated condition-based styling through FigRegistry's
# hierarchical pattern matching and environment-specific override system.
#
experiment_id,algorithm,model_type,environment,dataset_size,treatment_group,statistical_significance,performance_tier,hyperparameter_set,cross_validation_fold,random_seed,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper,auc_roc_mean,auc_roc_std,auc_roc_ci_lower,auc_roc_ci_upper,training_time_seconds,inference_time_ms,memory_usage_mb,p_value,effect_size,statistical_power,sample_size,data_quality_score,model_stability_index,feature_importance_entropy,hyperparameter_optimization_iterations,convergence_epoch,early_stopping_patience,learning_rate,regularization_strength,batch_size,dropout_rate,n_estimators,max_depth,min_samples_split,min_samples_leaf,confidence_level,prediction_variance,model_complexity_score,interpretability_score,bias_variance_tradeoff,overfitting_risk_score,underfitting_risk_score,computational_efficiency_score,deployment_readiness_score,governance_compliance_score,audit_trail_completeness,validation_framework_coverage,test_coverage_percentage,documentation_completeness_score,reproducibility_score,performance_regression_risk,scalability_assessment_score,monitoring_coverage_score,error_rate_percentage,latency_p95_ms,throughput_requests_per_second,resource_utilization_percentage,cost_per_prediction_usd,model_drift_detection_score,data_drift_detection_score,alert_threshold_breaches,sla_compliance_percentage,business_impact_score,stakeholder_satisfaction_score,technical_debt_score,maintenance_burden_score,upgrade_compatibility_score,security_assessment_score,privacy_compliance_score,ethical_ai_assessment_score,environmental_impact_score,experiment_timestamp,pipeline_version,kedro_run_id,figregistry_version,styling_condition_resolved,condition_hierarchy_depth,wildcard_patterns_matched,environment_overrides_applied,performance_sla_met,publication_quality_achieved
ablation_ensemble_staging,ensemble,candidate,staging,30000,treatment_b,highly_significant,excellent,ensemble_ablation_v1,4,789,0.8912,0.0078,0.8834,0.8990,0.8734,0.0089,0.8645,0.8823,0.9012,0.0067,0.8945,0.9079,0.8867,0.0081,0.8786,0.8948,0.9234,0.0056,0.9178,0.9290,2789.45,1.6,1789.3,0.0007,0.789,0.956,24000,0.9234,0.8789,0.8456,267,189,28,0.0,0.0,0,0.0,0,0,0,0,high,0.0134,9.4,9.5,0.456,0.067,0.134,9.2,9.6,9.4,0.967,0.934,96.7,9.3,9.5,0.013,9.4,9.6,1.23,10.6,1987.6,85.4,0.00123,0.067,0.134,1,99.3,9.2,9.4,8.7,8.3,9.3,9.5,9.2,9.4,8.9,2024-12-19T14:20:33.456Z,v1.2.4,kedro_20241219_142033_ablation_staging,0.3.0,training.model.candidate.staging,3,2,1,true,true
interpretability_random_forest_prod,random_forest,champion,production,75000,control,highly_significant,excellent,rf_interpretable_v2,5,1011,0.8967,0.0056,0.8911,0.9023,0.8789,0.0067,0.8722,0.8856,0.9123,0.0045,0.9078,0.9168,0.8945,0.0061,0.8884,0.9006,0.9345,0.0034,0.9311,0.9379,345.67,1.1,234.5,0.0005,0.823,0.967,60000,0.9345,0.8967,0.8567,123,78,20,0.0,0.001,192,0.0,400,8,10,5,high,0.0089,9.5,9.8,0.534,0.034,0.089,9.4,9.7,9.6,0.978,0.956,97.8,9.6,9.8,0.009,9.7,9.8,0.78,8.2,2234.5,91.7,0.00078,0.034,0.089,0,99.6,9.4,9.7,9.0,8.7,9.6,9.8,9.5,9.7,9.3,2024-12-19T15:00:00.000Z,v1.2.4,kedro_20241219_150000_interpretable_prod,0.3.0,training.model.champion.production,3,2,1,true,true
robustness_gradient_boosting_staging,gradient_boosting,champion,staging,35000,treatment_c,highly_significant,excellent,gb_robust_v1,5,1011,0.9089,0.0067,0.9022,0.9156,0.8945,0.0078,0.8867,0.9023,0.9234,0.0056,0.9178,0.9290,0.9089,0.0071,0.9018,0.9160,0.9456,0.0034,0.9422,0.9490,1234.56,1.3,678.9,0.0003,0.867,0.989,28000,0.9456,0.9089,0.8734,178,134,26,0.002,0.00005,128,0.08,600,10,12,6,high,0.0089,9.6,9.7,0.567,0.034,0.089,9.5,9.8,9.7,0.984,0.967,98.4,9.7,9.8,0.008,9.8,9.9,0.67,7.3,2123.4,89.6,0.00067,0.034,0.089,0,99.7,9.5,9.8,9.2,8.9,9.7,9.8,9.6,9.8,9.4,2024-12-19T15:30:45.123Z,v1.2.4,kedro_20241219_153045_robust_staging,0.3.0,training.model.champion.staging,3,2,1,true,true
fairness_logistic_regression_prod,logistic_regression,candidate,production,100000,control,significant,high,lr_fairness_v1,6,1234,0.8234,0.0089,0.8145,0.8323,0.8012,0.0123,0.7889,0.8135,0.8456,0.0098,0.8358,0.8554,0.8223,0.0112,0.8111,0.8335,0.8678,0.0076,0.8602,0.8754,189.34,1.7,145.6,0.0189,0.456,0.834,80000,0.8789,0.8234,0.7890,89,45,15,0.0002,0.008,128,0.0,100,6,2,1,high,0.0189,8.2,9.1,0.345,0.078,0.189,8.9,9.3,9.4,0.956,0.912,95.6,9.2,9.4,0.019,9.3,9.5,1.56,12.1,1567.8,82.3,0.00156,0.078,0.189,1,98.7,8.9,9.2,8.1,7.6,9.1,9.4,8.9,9.2,8.7,2024-12-19T16:15:30.789Z,v1.2.4,kedro_20241219_161530_fairness_prod,0.3.0,training.model.candidate.production,3,2,1,true,true
efficiency_neural_network_dev,neural_network,baseline,development,5000,treatment_a,not_significant,medium,nn_efficient_v1,6,1234,0.7456,0.0178,0.7278,0.7634,0.7234,0.0198,0.7036,0.7432,0.7678,0.0167,0.7511,0.7845,0.7445,0.0187,0.7258,0.7632,0.7891,0.0145,0.7746,0.8036,67.89,4.2,128.5,0.0734,0.234,0.567,4000,0.8123,0.7456,0.6789,34,18,8,0.001,0.01,32,0.1,0,0,0,0,low,0.0567,5.6,7.8,0.234,0.178,0.456,7.2,8.1,8.7,0.923,0.834,92.3,8.0,8.6,0.057,8.3,8.9,3.45,18.9,987.6,56.7,0.00345,0.178,0.456,4,96.8,7.8,8.3,6.9,5.8,8.1,8.7,7.9,8.4,7.5,2024-12-19T17:00:15.456Z,v1.2.4,kedro_20241219_170015_efficient_dev,0.3.0,training.model.baseline.development,3,2,1,true,false
scalability_ensemble_prod,ensemble,champion,production,200000,treatment_d,highly_significant,excellent,ensemble_scale_v2,7,1567,0.9234,0.0034,0.9200,0.9268,0.9123,0.0045,0.9078,0.9168,0.9345,0.0023,0.9322,0.9368,0.9234,0.0038,0.9196,0.9272,0.9567,0.0019,0.9548,0.9586,5678.90,0.8,3456.7,0.0001,0.934,0.998,160000,0.9678,0.9345,0.9012,456,378,40,0.0,0.0,0,0.0,0,0,0,0,high,0.0045,9.8,9.9,0.678,0.019,0.045,9.7,9.9,9.8,0.995,0.989,99.5,9.8,9.9,0.004,9.9,9.9,0.34,5.2,3456.8,97.8,0.00034,0.019,0.045,0,99.9,9.7,9.9,9.6,9.4,9.8,9.9,9.7,9.9,9.7,2024-12-19T18:00:00.000Z,v1.2.4,kedro_20241219_180000_scalability_prod,0.3.0,training.model.champion.production,3,2,1,true,true
adversarial_random_forest_staging,random_forest,candidate,staging,40000,treatment_b,significant,high,rf_adversarial_v1,7,1567,0.8567,0.0098,0.8469,0.8665,0.8345,0.0123,0.8222,0.8468,0.8789,0.0089,0.8700,0.8878,0.8556,0.0111,0.8445,0.8667,0.8912,0.0067,0.8845,0.8979,567.89,1.9,456.8,0.0123,0.678,0.889,32000,0.8912,0.8567,0.8123,145,98,22,0.0,0.0008,160,0.0,350,9,7,3,medium,0.0156,8.9,9.0,0.423,0.098,0.156,8.8,9.2,9.1,0.967,0.923,96.7,9.1,9.3,0.016,9.2,9.4,1.34,11.8,1678.9,79.4,0.00134,0.098,0.156,1,98.9,8.8,9.1,8.2,7.7,9.0,9.3,8.9,9.1,8.6,2024-12-19T18:45:22.234Z,v1.2.4,kedro_20241219_184522_adversarial_staging,0.3.0,training.model.candidate.staging,3,2,1,true,true
continual_gradient_boosting_dev,gradient_boosting,candidate,development,20000,treatment_c,highly_significant,high,gb_continual_v1,8,1890,0.8789,0.0089,0.8700,0.8878,0.8567,0.0112,0.8455,0.8679,0.8912,0.0078,0.8834,0.8990,0.8723,0.0095,0.8628,0.8818,0.9123,0.0067,0.9056,0.9190,1345.67,1.5,789.3,0.0045,0.734,0.923,16000,0.9012,0.8678,0.8234,167,123,25,0.003,0.0001,192,0.06,700,11,14,7,high,0.0112,9.1,9.2,0.456,0.089,0.112,9.0,9.4,9.3,0.978,0.945,97.8,9.2,9.4,0.011,9.3,9.5,1.12,10.2,1876.5,83.7,0.00112,0.089,0.112,1,99.2,9.0,9.3,8.5,8.0,9.2,9.4,9.1,9.3,8.8,2024-12-19T19:30:45.567Z,v1.2.5,kedro_20241219_193045_continual_dev,0.3.0,training.model.candidate.development,3,2,1,true,false
federated_logistic_regression_prod,logistic_regression,champion,production,150000,control,highly_significant,excellent,lr_federated_v2,8,1890,0.8912,0.0056,0.8856,0.8968,0.8734,0.0067,0.8667,0.8801,0.9123,0.0045,0.9078,0.9168,0.8912,0.0059,0.8853,0.8971,0.9234,0.0034,0.9200,0.9268,234.56,1.2,189.7,0.0008,0.823,0.967,120000,0.9345,0.8912,0.8567,234,189,30,0.0001,0.005,256,0.0,100,6,2,1,high,0.0078,9.3,9.6,0.534,0.056,0.078,9.2,9.5,9.4,0.984,0.967,98.4,9.4,9.6,0.008,9.5,9.7,0.89,8.6,2345.7,91.4,0.00089,0.056,0.078,0,99.6,9.2,9.5,9.1,8.8,9.4,9.6,9.3,9.5,9.2,2024-12-19T20:15:12.890Z,v1.2.5,kedro_20241219_201512_federated_prod,0.3.0,training.model.champion.production,3,2,1,true,true
explainable_neural_network_staging,neural_network,champion,staging,45000,treatment_a,highly_significant,excellent,nn_explainable_v2,9,2123,0.8967,0.0067,0.8900,0.9034,0.8789,0.0078,0.8711,0.8867,0.9123,0.0056,0.9067,0.9179,0.8945,0.0071,0.8874,0.9016,0.9345,0.0045,0.9300,0.9390,2567.89,1.8,1345.6,0.0005,0.856,0.978,36000,0.9234,0.8967,0.8612,289,234,32,0.00001,0.00005,128,0.15,0,0,0,0,high,0.0089,9.5,9.8,0.567,0.045,0.089,9.4,9.7,9.6,0.989,0.967,98.9,9.6,9.8,0.009,9.7,9.8,0.78,7.9,2234.8,89.7,0.00078,0.045,0.089,0,99.7,9.4,9.7,9.0,8.6,9.6,9.8,9.5,9.7,9.3,2024-12-19T21:00:33.123Z,v1.2.5,kedro_20241219_210033_explainable_staging,0.3.0,training.model.champion.staging,3,2,1,true,true
