sample_pair,comparison_type,effect_magnitude,significance_category,effect_size,adjusted_p_value,confidence_width,comparison_direction,study_phase,measurement_domain,manual_color_code,manual_marker_style,manual_line_pattern,visualization_priority
treatment_high_dose_vs_washout,recovery,large,highly_significant,0.87,0.000,0.09,negative,high_dose,biochemical,#7f7f7f,diamond,solid,critical
protein_levels_vs_enzyme_activity,biomarker_correlation,medium,significant,0.46,0.012,0.20,positive,treatment,biochemical,#bcbd22,pentagon,dashed,medium
enzyme_activity_vs_metabolite_levels,biomarker_correlation,large,highly_significant,0.63,0.003,0.16,positive,treatment,biochemical,#17becf,hexagon,solid,high
protein_levels_vs_metabolite_levels,biomarker_correlation,medium,significant,0.41,0.028,0.24,positive,treatment,biochemical,#1f77b4,plus,dotted,medium
heart_rate_vs_blood_pressure,physiological_correlation,large,highly_significant,0.72,0.001,0.14,positive,treatment,physiological,#ff7f0e,cross,solid,high
blood_pressure_vs_temperature,physiological_correlation,small,not_significant,0.21,0.167,0.29,weak,treatment,physiological,#2ca02c,star,dashed,low
heart_rate_vs_temperature,physiological_correlation,medium,significant,0.34,0.041,0.27,positive,treatment,physiological,#d62728,circle,dash_dot,medium
activity_score_vs_reaction_time,behavioral_correlation,large,highly_significant,0.76,0.000,0.12,negative,treatment,behavioral,#9467bd,square,solid,high
efficacy_vs_toxicity,safety_efficacy,medium,significant,0.37,0.035,0.22,trade_off,validation,safety,#8c564b,triangle,dashed,critical
efficacy_primary_vs_biomarker_expression,mechanism,large,highly_significant,0.69,0.002,0.15,positive,main,mechanistic,#e377c2,diamond,solid,high
biomarker_expression_vs_response_rate,predictive,medium,significant,0.48,0.019,0.21,positive,validation,predictive,#7f7f7f,pentagon,dotted,high
motor_function_vs_survival_days,functional_outcome,large,highly_significant,0.83,0.000,0.10,positive,main,outcome,#bcbd22,hexagon,solid,critical
protein_binding_vs_plasma_concentration,pharmacokinetic,medium,significant,0.52,0.014,0.18,positive,main,pharmacokinetic,#17becf,plus,dashed,medium
single_dose_vs_multiple_dose,dosing_regimen,large,highly_significant,0.65,0.001,0.16,positive,main,pharmacokinetic,#1f77b4,cross,solid,high
synergy_mono_A_vs_combo_low,combination_effect,large,highly_significant,0.78,0.000,0.11,synergistic,pilot,combination,#ff7f0e,star,double,critical
synergy_mono_B_vs_combo_high,combination_effect,very_large,highly_significant,0.92,0.000,0.07,synergistic,pilot,combination,#2ca02c,circle,solid,critical
combo_low_vs_combo_high,dose_combination,medium,significant,0.43,0.026,0.23,positive,pilot,combination,#d62728,square,dashed,high
inhibitor_A_vs_inhibitor_B,mechanism_comparison,medium,significant,0.39,0.033,0.25,differential,mechanistic,mechanism,#9467bd,triangle,dotted,medium
vehicle_vs_low_dose_survival,safety_margin,small,not_significant,0.16,0.234,0.32,safe,regulatory,safety,#8c564b,diamond,dashed,medium
low_dose_vs_high_dose_survival,dose_toxicity,large,highly_significant,0.71,0.001,0.15,toxic,regulatory,safety,#e377c2,pentagon,solid,critical
control_biochemical_vs_physiological,domain_comparison,medium,significant,0.36,0.047,0.26,domain_specific,baseline,multi_domain,#7f7f7f,hexagon,dash_dot,medium
treatment_biochemical_vs_physiological,domain_comparison,large,highly_significant,0.67,0.002,0.17,domain_specific,treatment,multi_domain,#bcbd22,plus,solid,high
biochemical_vs_behavioral,domain_comparison,medium,significant,0.41,0.031,0.24,domain_specific,treatment,multi_domain,#17becf,cross,dashed,medium
physiological_vs_behavioral,domain_comparison,large,highly_significant,0.59,0.004,0.18,domain_specific,treatment,multi_domain,#1f77b4,star,dotted,high
pilot_vs_main_phase,study_phase,small,significant,0.28,0.049,0.30,progressive,multi_phase,development,#ff7f0e,circle,solid,medium
main_vs_validation_phase,study_phase,medium,significant,0.45,0.021,0.22,progressive,multi_phase,development,#2ca02c,square,dashed,high
pilot_vs_validation_phase,study_phase,large,highly_significant,0.61,0.003,0.19,progressive,multi_phase,development,#d62728,triangle,solid,high
exploratory_vs_regulatory,development_stage,large,highly_significant,0.74,0.001,0.14,maturation,regulatory,development,#9467bd,diamond,double,critical
chen_vs_rodriguez_groups,investigator_comparison,small,not_significant,0.19,0.156,0.33,investigator_effect,multi_investigator,quality,#8c564b,pentagon,dashed,low
park_vs_wilson_groups,investigator_comparison,medium,significant,0.38,0.037,0.27,investigator_effect,multi_investigator,quality,#e377c2,hexagon,dotted,medium
zhang_vs_santos_groups,investigator_comparison,small,not_significant,0.22,0.134,0.29,investigator_effect,multi_investigator,quality,#7f7f7f,plus,dash_dot,low
high_quality_vs_medium_quality,quality_comparison,medium,significant,0.42,0.024,0.25,quality_effect,validation,quality,#bcbd22,cross,solid,medium
validated_vs_in_progress,validation_status,large,highly_significant,0.66,0.002,0.16,validation_effect,multi_status,quality,#17becf,star,dashed,high
control_replication_vs_treatment_replication,reproducibility,large,highly_significant,0.73,0.001,0.13,reproducible,validation,reproducibility,#1f77b4,circle,solid,critical
