time_period,experimental_condition,measurement_type,pattern_id,trend_direction,seasonal_component,trend_strength,seasonality_index,data_quality,baseline_mean,current_value,percentage_change,volatility_index,autocorr_strength,phase_transition_score,temporal_stability,anomaly_score,prediction_confidence,manual_styling_notes
baseline_week1,treatment_a,pressure,PRES_TXA_BL1,stable,medium,0.16,0.31,medium,1018.45,1018.45,0.0,0.14,0.28,0.84,0.83,0.17,0.86,"Manual style: blue solid line (-), square markers, treatment A pressure baseline"
baseline_week1,treatment_b,pressure,PRES_TXB_BL1,stable,high,0.21,0.52,low,1025.67,1025.67,0.0,0.28,0.21,0.76,0.68,0.32,0.73,"Manual style: red solid line (-), triangle markers, treatment B pressure baseline"
intervention_week2,control,pressure,PRES_CTRL_INT2,stable,medium,0.31,0.48,high,1013.25,1013.89,0.063,0.18,0.55,0.81,0.91,0.09,0.89,"Manual style: gray dashed line (--), pressure intervention minimal change"
intervention_week2,treatment_a,pressure,PRES_TXA_INT2,stable,low,0.42,0.35,medium,1018.45,1020.12,0.164,0.25,0.61,0.85,0.79,0.15,0.81,"Manual style: blue dashed line (--), moderate pressure increase intervention"
intervention_week2,treatment_b,pressure,PRES_TXB_INT2,stable,very_high,0.73,0.91,low,1025.67,1028.12,0.238,0.52,0.71,0.79,0.64,0.21,0.68,"Manual style: red dashed line (--), significant pressure elevation intervention"
followup_week3,control,pressure,PRES_CTRL_FU3,stable,low,0.19,0.23,high,1013.25,1013.67,0.041,0.12,0.48,0.84,0.92,0.08,0.91,"Manual style: gray dotted line (..), return to baseline pressure followup"
followup_week3,treatment_a,pressure,PRES_TXA_FU3,stable,low,0.35,0.28,high,1018.45,1019.78,0.131,0.21,0.56,0.83,0.76,0.17,0.78,"Manual style: blue dotted line (..), partial pressure normalization followup"
followup_week3,treatment_b,pressure,PRES_TXB_FU3,stable,high,0.68,0.82,medium,1025.67,1027.34,0.163,0.46,0.68,0.77,0.61,0.23,0.65,"Manual style: red dotted line (..), sustained pressure elevation followup"
baseline_week1,control,humidity,HUM_CTRL_BL1,stable,low,0.14,0.21,high,45.23,45.23,0.0,0.11,0.28,0.86,0.91,0.09,0.93,"Manual style: gray solid line (-), humidity baseline requires manual y-axis scaling"
baseline_week1,treatment_a,humidity,HUM_TXA_BL1,stable,medium,0.19,0.38,medium,52.34,52.34,0.0,0.17,0.25,0.83,0.82,0.18,0.84,"Manual style: blue solid line (-), treatment A humidity baseline manual legend"
baseline_week1,treatment_b,humidity,HUM_TXB_BL1,stable,very_high,0.25,0.63,low,63.45,63.45,0.0,0.32,0.19,0.74,0.66,0.34,0.71,"Manual style: red solid line (-), treatment B humidity baseline manual annotation"
intervention_week2,control,humidity,HUM_CTRL_INT2,stable,medium,0.28,0.43,high,45.23,45.89,1.46,0.19,0.52,0.79,0.89,0.11,0.87,"Manual style: gray dashed line (--), minimal humidity change requires manual scaling"
intervention_week2,treatment_a,humidity,HUM_TXA_INT2,stable,very_high,0.51,0.78,medium,52.34,54.12,3.40,0.31,0.62,0.87,0.77,0.13,0.80,"Manual style: blue dashed line (--), moderate humidity increase manual formatting"
intervention_week2,treatment_b,humidity,HUM_TXB_INT2,stable,extreme,0.79,0.94,low,63.45,65.45,3.15,0.54,0.65,0.83,0.62,0.17,0.67,"Manual style: red dashed line (--), extreme humidity elevation manual styling"
followup_week3,control,humidity,HUM_CTRL_FU3,stable,low,0.21,0.26,high,45.23,45.76,1.17,0.14,0.48,0.82,0.90,0.10,0.88,"Manual style: gray dotted line (..), humidity followup manual grid configuration"
followup_week3,treatment_a,humidity,HUM_TXA_FU3,stable,high,0.47,0.65,high,52.34,53.78,2.75,0.28,0.59,0.84,0.74,0.16,0.77,"Manual style: blue dotted line (..), sustained humidity elevation manual tick marks"
followup_week3,treatment_b,humidity,HUM_TXB_FU3,stable,extreme,0.74,0.87,medium,63.45,64.89,2.27,0.48,0.63,0.79,0.59,0.21,0.64,"Manual style: red dotted line (..), extreme humidity persistence manual color mapping"
temporal_trend_summary,control,composite,COMP_CTRL_TREND,mixed,variable,0.24,0.31,high,45.64,46.12,1.05,0.16,0.44,0.82,0.91,0.09,0.90,"Manual composite trend: requires manual multi-axis plotting with secondary y-axis"
temporal_trend_summary,treatment_a,composite,COMP_TXA_TREND,increasing,high,0.55,0.67,medium,42.97,44.78,4.21,0.31,0.61,0.85,0.79,0.15,0.82,"Manual composite trend: treatment A requires manual correlation plot styling"
temporal_trend_summary,treatment_b,composite,COMP_TXB_TREND,increasing,very_high,0.73,0.86,medium,51.97,53.59,3.12,0.47,0.66,0.81,0.65,0.19,0.69,"Manual composite trend: treatment B requires manual heatmap correlation styling"
phase_transition_analysis,control,all_metrics,PHASE_CTRL_TRANS,stable_to_stable,consistent,0.22,0.28,high,27.31,27.44,0.48,0.14,0.46,0.84,0.91,0.09,0.89,"Manual phase analysis: control group requires manual phase boundary annotations"
phase_transition_analysis,treatment_a,all_metrics,PHASE_TXA_TRANS,stable_to_increasing,moderate,0.58,0.61,medium,31.64,33.41,5.59,0.28,0.62,0.87,0.79,0.13,0.84,"Manual phase analysis: treatment A requires manual trend line overlay styling"
phase_transition_analysis,treatment_b,all_metrics,PHASE_TXB_TRANS,stable_to_volatile,high,0.75,0.84,medium,38.63,40.27,4.24,0.49,0.68,0.83,0.65,0.17,0.71,"Manual phase analysis: treatment B requires manual volatility shading and annotations"
seasonal_decomposition,control,temperature,SEAS_CTRL_TEMP,minimal,very_low,0.18,0.15,high,22.45,22.67,0.98,0.13,0.34,0.83,0.92,0.08,0.91,"Manual seasonal decomposition: control temperature requires manual subplot arrangement"
seasonal_decomposition,treatment_a,temperature,SEAS_TXA_TEMP,moderate,medium,0.52,0.58,medium,24.12,25.02,3.73,0.29,0.67,0.86,0.82,0.14,0.85,"Manual seasonal decomposition: treatment A requires manual seasonal component styling"
seasonal_decomposition,treatment_b,temperature,SEAS_TXB_TEMP,strong,high,0.78,0.81,medium,26.78,28.21,5.34,0.43,0.71,0.84,0.69,0.16,0.73,"Manual seasonal decomposition: treatment B requires manual residual analysis plots"
forecast_validation,control,composite,FCST_CTRL_VAL,predictable,low,0.31,0.22,high,31.64,31.92,0.88,0.17,0.52,0.85,0.90,0.10,0.88,"Manual forecast validation: control requires manual confidence interval shading"
forecast_validation,treatment_a,composite,FCST_TXA_VAL,moderately_predictable,medium,0.61,0.54,medium,37.75,39.11,3.60,0.32,0.64,0.83,0.81,0.17,0.79,"Manual forecast validation: treatment A requires manual prediction band styling"
forecast_validation,treatment_b,composite,FCST_TXB_VAL,volatile,high,0.81,0.79,low,45.97,47.84,4.07,0.51,0.69,0.78,0.67,0.22,0.68,"Manual forecast validation: treatment B requires manual uncertainty quantification plots"
