qc_analysis_id,instrument_id,qc_category,pass_fail_status,quality_score,control_type,threshold_compliance,risk_level,analysis_timestamp,experiment_id,facility_location,operator_id,measurement_count,avg_deviation,max_deviation,trend_direction,action_required,compliance_percentage,critical_failures,warning_count,notes
QCA-038,MS-002,calibration_check,pass,0.981,high_mass_range,within_limits,low,2024-01-16 09:35:00,EXP-2024-010,Lab-B,OPR-002,4,1.9,2.8,stable,none,98.1,0,0,"High mass range calibration excellent with good accuracy"
QCA-039,MS-002,instrument_validation,fail,0.874,mass_resolution,below_threshold,high,2024-01-16 09:40:00,EXP-2024-010,Lab-B,OPR-002,3,12.6,18.3,declining,immediate,87.4,1,2,"Critical mass resolution failure - source cleaning required immediately"
QCA-040,MS-002,control_sample,pass,0.987,isotope_pattern,within_limits,low,2024-01-16 09:45:00,EXP-2024-010,Lab-B,OPR-002,3,1.3,2.1,stable,monitoring,98.7,0,0,"Isotope pattern control good despite resolution issues"
QCA-041,UV-003,calibration_check,pass,0.978,upper_wavelength,within_limits,low,2024-01-16 10:30:00,EXP-2024-011,Lab-C,OPR-003,4,2.2,3.6,stable,none,97.8,0,0,"Upper wavelength calibration excellent with precise alignment"
QCA-042,UV-003,calibration_check,pass,0.946,lower_wavelength,within_limits,medium,2024-01-16 10:35:00,EXP-2024-011,Lab-C,OPR-003,3,5.4,7.2,stable,monitoring,94.6,0,1,"Lower wavelength range acceptable but trending toward limits"
QCA-043,UV-003,instrument_validation,fail,0.898,bandwidth_test,above_threshold,medium,2024-01-16 10:40:00,EXP-2024-011,Lab-C,OPR-003,5,10.2,13.8,declining,adjustment,89.8,1,1,"Bandwidth validation above threshold - optical alignment adjustment needed"
QCA-044,UV-003,control_sample,pass,0.951,deuterium_lamp,within_limits,low,2024-01-16 10:45:00,EXP-2024-011,Lab-C,OPR-003,2,4.9,6.1,stable,monitoring,95.1,0,0,"Deuterium lamp control acceptable - lamp aging within normal range"
QCA-045,analyzer_suite,multi_instrument,pass,0.965,cross_validation,within_limits,low,2024-01-16 11:00:00,EXP-2024-001,multi_lab,OPR-001,15,3.5,8.2,stable,none,96.5,0,1,"Multi-instrument cross-validation demonstrates excellent inter-lab consistency"
QCA-046,analyzer_suite,control_trending,pass,0.973,weekly_summary,within_limits,low,2024-01-16 11:30:00,EXP-2024-002,multi_lab,OPR-002,28,2.7,6.1,improving,none,97.3,0,0,"Weekly control trending shows consistent improvement across all systems"
QCA-047,quality_system,process_control,pass,0.982,batch_release,within_limits,low,2024-01-16 12:00:00,EXP-2024-003,multi_lab,QA-001,45,1.8,4.3,stable,none,98.2,0,0,"Batch release criteria met - all quality control parameters within specification"
QCA-048,quality_system,out_of_specification,fail,0.856,investigation_required,below_threshold,high,2024-01-16 12:30:00,EXP-2024-004,Lab-A,QA-001,12,14.4,23.7,declining,immediate,85.6,2,3,"Out-of-specification investigation triggered - multiple instrument failures detected"
QCA-049,quality_system,corrective_action,pass,0.991,system_improvement,within_limits,low,2024-01-16 13:00:00,EXP-2024-005,multi_lab,QA-001,38,0.9,2.1,improving,monitoring,99.1,0,0,"Corrective action implementation successful - system performance restored"
QCA-050,quality_system,final_assessment,pass,0.988,migration_validation,within_limits,low,2024-01-16 14:00:00,EXP-2024-006,multi_lab,QA-001,50,1.2,3.4,stable,none,98.8,0,0,"Migration validation complete - automated QC system demonstrates superior performance"
