experiment_id,metric_type,instrument_id,measurement_value,pass_fail_status,measurement_timestamp,operator,protocol_step,upper_limit,lower_limit,notes
EXP015,drift_monitoring,BIOANALYZER_006,0.3,pass,2024-09-01 09:00:00,tech_robert,step_004,2.0,-2.0,Bioanalyzer pathway A drift - pathway monitoring styling
EXP016,calibration,BIOANALYZER_006,100.1,pass,2024-09-01 07:35:00,tech_robert,step_001,101.0,98.0,Pathway B calibration - alternative pathway styling
EXP016,validation,BIOANALYZER_006,0.91,pass,2024-09-01 08:05:00,tech_robert,step_002,1.0,0.9,Pathway B validation - alternative mechanistic styling
EXP016,control_check,BIOANALYZER_006,99.2,pass,2024-09-01 08:35:00,tech_robert,step_003,102.0,98.0,Pathway B QC check - pathway contrast styling
EXP016,drift_monitoring,BIOANALYZER_006,-0.4,pass,2024-09-01 09:05:00,tech_robert,step_004,2.0,-2.0,Pathway B drift monitoring - alternative pathway monitoring
EXP017,calibration,GC_MS_007,100.0,pass,2024-10-16 06:30:00,tech_angela,step_001,101.0,98.0,Vehicle control calibration - regulatory phase safety styling
EXP017,validation,GC_MS_007,0.97,pass,2024-10-16 07:00:00,tech_angela,step_002,1.0,0.9,Vehicle control validation - regulatory control styling
EXP017,control_check,GC_MS_007,99.6,pass,2024-10-16 07:30:00,tech_angela,step_003,102.0,98.0,Vehicle QC recovery - regulatory safety styling pattern
EXP017,drift_monitoring,GC_MS_007,0.1,pass,2024-10-16 08:00:00,tech_angela,step_004,2.0,-2.0,GC-MS vehicle drift - regulatory monitoring styling
EXP018,calibration,GC_MS_007,99.8,pass,2024-10-16 06:35:00,tech_angela,step_001,101.0,98.0,Low dose safety calibration - regulatory safety dose styling
EXP018,validation,GC_MS_007,0.95,pass,2024-10-16 07:05:00,tech_angela,step_002,1.0,0.9,Safety low dose validation - regulatory dose-dependent styling
EXP018,control_check,GC_MS_007,100.2,pass,2024-10-16 07:35:00,tech_angela,step_003,102.0,98.0,Safety low dose QC - regulatory low dose styling
EXP018,drift_monitoring,GC_MS_007,0.5,pass,2024-10-16 08:05:00,tech_angela,step_004,2.0,-2.0,Low dose safety drift - regulatory monitoring styling
EXP019,calibration,GC_MS_007,99.3,pass,2024-10-16 06:40:00,tech_angela,step_001,101.0,98.0,High dose safety calibration - maximum safety dose styling
EXP019,validation,GC_MS_007,0.88,fail,2024-10-16 07:10:00,tech_angela,step_002,1.0,0.9,Safety high dose validation failure - regulatory failure styling
EXP019,control_check,GC_MS_007,103.5,fail,2024-10-16 07:40:00,tech_angela,step_003,102.0,98.0,High dose safety QC failure - regulatory safety failure styling
EXP019,drift_monitoring,GC_MS_007,2.5,fail,2024-10-16 08:10:00,tech_angela,step_004,2.0,-2.0,High dose safety drift failure - critical safety monitoring failure
EXP020,calibration,ACQUITY_008,100.1,pass,2024-12-01 06:00:00,tech_david,step_001,101.0,98.0,Placebo calibration - regulatory placebo styling
EXP020,validation,ACQUITY_008,0.96,pass,2024-12-01 06:30:00,tech_david,step_002,1.0,0.9,Placebo validation - regulatory control group styling
EXP020,control_check,ACQUITY_008,99.9,pass,2024-12-01 07:00:00,tech_david,step_003,102.0,98.0,Placebo QC recovery - regulatory placebo styling pattern
EXP020,drift_monitoring,ACQUITY_008,0.2,pass,2024-12-01 07:30:00,tech_david,step_004,2.0,-2.0,Acquity placebo drift - regulatory placebo monitoring
EXP021,calibration,ACQUITY_008,99.7,pass,2024-12-01 06:05:00,tech_david,step_001,101.0,98.0,Active treatment calibration - regulatory treatment styling
EXP021,validation,ACQUITY_008,0.93,pass,2024-12-01 06:35:00,tech_david,step_002,1.0,0.9,Active treatment validation - regulatory efficacy styling
EXP021,control_check,ACQUITY_008,100.3,pass,2024-12-01 07:05:00,tech_david,step_003,102.0,98.0,Active treatment QC - regulatory treatment styling
EXP021,drift_monitoring,ACQUITY_008,0.7,pass,2024-12-01 07:35:00,tech_david,step_004,2.0,-2.0,Active treatment drift - efficacy monitoring styling
EXP022,calibration,ORBITRAP_009,99.9,pass,2025-01-16 05:30:00,tech_jennifer,step_001,101.0,98.0,Reference formulation calibration - bioequivalence reference styling
EXP022,validation,ORBITRAP_009,0.98,pass,2025-01-16 06:00:00,tech_jennifer,step_002,1.0,0.9,Reference validation - regulatory bioequivalence styling
EXP022,control_check,ORBITRAP_009,100.0,pass,2025-01-16 06:30:00,tech_jennifer,step_003,102.0,98.0,Reference QC recovery - bioequivalence reference styling
EXP022,drift_monitoring,ORBITRAP_009,0.0,pass,2025-01-16 07:00:00,tech_jennifer,step_004,2.0,-2.0,Orbitrap reference drift - bioequivalence monitoring styling
EXP023,calibration,ORBITRAP_009,99.6,pass,2025-01-16 05:35:00,tech_jennifer,step_001,101.0,98.0,Test formulation calibration - bioequivalence test styling
EXP023,validation,ORBITRAP_009,0.94,pass,2025-01-16 06:05:00,tech_jennifer,step_002,1.0,0.9,Test formulation validation - test formulation styling
EXP023,control_check,ORBITRAP_009,99.4,pass,2025-01-16 06:35:00,tech_jennifer,step_003,102.0,98.0,Test formulation QC - bioequivalence test styling
EXP023,drift_monitoring,ORBITRAP_009,-0.3,pass,2025-01-16 07:05:00,tech_jennifer,step_004,2.0,-2.0,Test formulation drift - bioequivalence comparison styling
EXP024,calibration,QTOF_010,100.2,pass,2025-03-01 07:00:00,tech_thomas,step_001,101.0,98.0,Monotherapy A calibration - combination baseline styling
EXP024,validation,QTOF_010,0.95,pass,2025-03-01 07:30:00,tech_thomas,step_002,1.0,0.9,Single agent A validation - monotherapy baseline styling
EXP024,control_check,QTOF_010,99.8,pass,2025-03-01 08:00:00,tech_thomas,step_003,102.0,98.0,Monotherapy A QC - single agent styling pattern
EXP024,drift_monitoring,QTOF_010,0.4,pass,2025-03-01 08:30:00,tech_thomas,step_004,2.0,-2.0,Q-TOF monotherapy A drift - single agent monitoring styling
EXP025,calibration,QTOF_010,99.9,pass,2025-03-01 07:05:00,tech_thomas,step_001,101.0,98.0,Monotherapy B calibration - combination comparator styling
EXP025,validation,QTOF_010,0.92,pass,2025-03-01 07:35:00,tech_thomas,step_002,1.0,0.9,Single agent B validation - monotherapy comparator styling
EXP025,control_check,QTOF_010,100.5,pass,2025-03-01 08:05:00,tech_thomas,step_003,102.0,98.0,Monotherapy B QC - agent B styling pattern
EXP025,drift_monitoring,QTOF_010,0.1,pass,2025-03-01 08:35:00,tech_thomas,step_004,2.0,-2.0,Monotherapy B drift - comparator agent monitoring styling
EXP026,calibration,QTOF_010,99.4,pass,2025-03-01 07:10:00,tech_thomas,step_001,101.0,98.0,Combination therapy calibration - synergistic combination styling
EXP026,validation,QTOF_010,0.89,fail,2025-03-01 07:40:00,tech_thomas,step_002,1.0,0.9,Combination validation failure - combination therapy failure styling
EXP026,control_check,QTOF_010,102.3,fail,2025-03-01 08:10:00,tech_thomas,step_003,102.0,98.0,Combination QC failure - synergistic failure styling pattern
EXP026,drift_monitoring,QTOF_010,2.1,fail,2025-03-01 08:40:00,tech_thomas,step_004,2.0,-2.0,Combination drift failure - complex therapy monitoring failure
