experiment_id,model_name,model_type,algorithm_type,optimization_method,timestamp,epoch,training_loss,validation_loss,learning_rate,training_accuracy,validation_accuracy,training_phase,convergence_status,early_stopping_counter,checkpoint_created,batch_size,gradient_norm,learning_rate_schedule,optimizer_state,regularization_loss,momentum,weight_decay,model_architecture,layer_count,parameter_count,memory_usage_mb,training_time_seconds,gpu_utilization,data_augmentation,dropout_rate,batch_normalization,activation_function,loss_function,scheduler_type,warmup_steps,performance_tier,confidence_level,statistical_significance,model_complexity,training_environment,data_quality_condition,inference_environment,validation_level,purpose
TS-002-001,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:00:00.000Z,1,2.3456,2.4123,0.001,0.2456,0.2345,initialization,training,0,false,64,0.9123,cosine_annealing,initializing,0.0345,0.9,0.0001,bidirectional_lstm,2,250000,1024.5,18.45,0.85,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-002,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:00:45.000Z,2,2.1234,2.2456,0.0009,0.2789,0.2678,initialization,training,0,false,64,0.8765,cosine_annealing,optimizing,0.0298,0.9,0.0001,bidirectional_lstm,2,250000,1023.8,17.89,0.83,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-003,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:01:30.000Z,3,1.9012,2.0789,0.0008,0.3123,0.3012,initialization,training,0,false,64,0.8432,cosine_annealing,optimizing,0.0267,0.9,0.0001,bidirectional_lstm,2,250000,1023.1,17.34,0.81,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-004,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:02:15.000Z,4,1.6789,1.9123,0.0007,0.3456,0.3345,initialization,training,0,false,64,0.8098,cosine_annealing,optimizing,0.0243,0.9,0.0001,bidirectional_lstm,2,250000,1022.4,16.78,0.79,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-005,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:03:00.000Z,5,1.4567,1.7456,0.0006,0.3789,0.3678,convergence,training,0,true,64,0.7765,cosine_annealing,optimizing,0.0223,0.9,0.0001,bidirectional_lstm,2,250000,1021.7,16.23,0.77,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-006,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:03:45.000Z,6,1.2345,1.5789,0.0005,0.4123,0.4012,convergence,training,0,false,64,0.7432,cosine_annealing,optimizing,0.0208,0.9,0.0001,bidirectional_lstm,2,250000,1021.0,15.67,0.75,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-007,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:04:30.000Z,7,1.0123,1.4123,0.0004,0.4456,0.4345,convergence,training,0,false,64,0.7098,cosine_annealing,optimizing,0.0196,0.9,0.0001,bidirectional_lstm,2,250000,1020.3,15.12,0.73,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-008,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:05:15.000Z,8,0.8901,1.2456,0.0003,0.4789,0.4678,convergence,training,0,false,64,0.6765,cosine_annealing,optimizing,0.0187,0.9,0.0001,bidirectional_lstm,2,250000,1019.6,14.56,0.71,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-009,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:06:00.000Z,9,0.7689,1.0789,0.0002,0.5123,0.5012,convergence,training,0,false,64,0.6432,cosine_annealing,optimizing,0.0179,0.9,0.0001,bidirectional_lstm,2,250000,1018.9,14.01,0.69,true,0.3,true,relu,mse,cosine_annealing,10,good,medium,significant,high,staging,training.data.cleaned,staging,Level-2,exploration
TS-002-010,bidirectional_lstm_model,training.model.candidate,lstm,adam_optimizer,2024-12-19T10:06:45.000Z,10,0.6467,0.9123,0.0001,0.5456,0.5345,convergence,converged,0,true,64,0.6098,cosine_annealing,optimizing,0.0173,0.9,0.0001,bidirectional_lstm,2,250000,1018.2,13.45,0.67,true,0.3,true,relu,mse,cosine_annealing,10,excellent,high,significant,high,staging,training.data.transformed,staging,Level-3,presentation
TS-003-001,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:00:00.000Z,1,2.1234,2.1890,0.0001,0.3456,0.3345,initialization,training,0,false,128,1.2345,linear_warmup,initializing,0.0456,0.9,0.01,multi_head_attention,8,2500000,4096.8,45.67,0.92,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-002,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:01:30.000Z,2,1.8901,1.9456,0.00015,0.4123,0.4012,initialization,training,0,false,128,1.1789,linear_warmup,optimizing,0.0389,0.9,0.01,multi_head_attention,8,2500000,4095.2,44.23,0.90,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-003,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:03:00.000Z,3,1.6567,1.7123,0.0002,0.4789,0.4678,initialization,training,0,false,128,1.1234,linear_warmup,optimizing,0.0334,0.9,0.01,multi_head_attention,8,2500000,4093.6,42.78,0.88,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-004,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:04:30.000Z,4,1.4234,1.4789,0.00025,0.5456,0.5345,convergence,training,0,false,128,1.0678,linear_warmup,optimizing,0.0289,0.9,0.01,multi_head_attention,8,2500000,4092.0,41.34,0.86,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-005,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:06:00.000Z,5,1.1901,1.2456,0.0003,0.6123,0.6012,convergence,training,0,true,128,1.0123,linear_warmup,optimizing,0.0253,0.9,0.01,multi_head_attention,8,2500000,4090.4,39.89,0.84,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-006,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:07:30.000Z,6,0.9567,1.0123,0.00035,0.6789,0.6678,convergence,training,0,false,128,0.9567,linear_warmup,optimizing,0.0224,0.9,0.01,multi_head_attention,8,2500000,4088.8,38.45,0.82,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-007,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:09:00.000Z,7,0.7234,0.7789,0.0004,0.7456,0.7345,convergence,training,0,false,128,0.9012,linear_warmup,optimizing,0.0201,0.9,0.01,multi_head_attention,8,2500000,4087.2,37.01,0.80,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-008,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:10:30.000Z,8,0.4901,0.5456,0.00045,0.8123,0.8012,convergence,training,0,false,128,0.8456,linear_warmup,optimizing,0.0183,0.9,0.01,multi_head_attention,8,2500000,4085.6,35.56,0.78,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-009,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:12:00.000Z,9,0.2567,0.3123,0.0005,0.8789,0.8678,convergence,training,0,false,128,0.7901,linear_warmup,optimizing,0.0169,0.9,0.01,multi_head_attention,8,2500000,4084.0,34.12,0.76,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-003-010,transformer_model,training.model.champion,transformer,adamw_optimizer,2024-12-19T11:13:30.000Z,10,0.1234,0.1789,0.00055,0.9456,0.9345,convergence,converged,0,true,128,0.7345,linear_warmup,optimizing,0.0158,0.9,0.01,multi_head_attention,8,2500000,4082.4,32.67,0.74,true,0.1,true,gelu,cross_entropy,linear_warmup,1000,excellent,high,highly_significant,very_high,production,training.data.transformed,production,Level-3,publication
TS-004-001,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:00:00.000Z,1,2.0123,2.0789,0.01,0.3789,0.3678,initialization,training,0,false,256,0.9876,step_decay,initializing,0.0567,0.9,0.0001,resnet50,50,25600000,8192.3,67.89,0.95,true,0.5,true,relu,categorical_crossentropy,step_decay,0,good,medium,significant,very_high,staging,training.data.cleaned,staging,Level-2,exploration
TS-004-002,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:02:00.000Z,2,1.7890,1.8456,0.009,0.4456,0.4345,initialization,training,0,false,256,0.9234,step_decay,optimizing,0.0489,0.9,0.0001,resnet50,50,25600000,8190.7,65.34,0.93,true,0.5,true,relu,categorical_crossentropy,step_decay,0,good,medium,significant,very_high,staging,training.data.cleaned,staging,Level-2,exploration
TS-004-003,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:04:00.000Z,3,1.5567,1.6123,0.008,0.5123,0.5012,initialization,training,0,false,256,0.8765,step_decay,optimizing,0.0423,0.9,0.0001,resnet50,50,25600000,8189.1,62.78,0.91,true,0.5,true,relu,categorical_crossentropy,step_decay,0,good,medium,significant,very_high,staging,training.data.cleaned,staging,Level-2,exploration
TS-004-004,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:06:00.000Z,4,1.3234,1.3789,0.007,0.5789,0.5678,convergence,training,0,false,256,0.8298,step_decay,optimizing,0.0367,0.9,0.0001,resnet50,50,25600000,8187.5,60.23,0.89,true,0.5,true,relu,categorical_crossentropy,step_decay,0,good,medium,significant,very_high,staging,training.data.cleaned,staging,Level-2,exploration
TS-004-005,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:08:00.000Z,5,1.0901,1.1456,0.006,0.6456,0.6345,convergence,training,0,true,256,0.7832,step_decay,optimizing,0.0321,0.9,0.0001,resnet50,50,25600000,8185.9,57.67,0.87,true,0.5,true,relu,categorical_crossentropy,step_decay,0,good,medium,significant,very_high,staging,training.data.cleaned,staging,Level-2,exploration
TS-004-006,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:10:00.000Z,6,0.8567,0.9123,0.005,0.7123,0.7012,convergence,training,0,false,256,0.7365,step_decay,optimizing,0.0284,0.9,0.0001,resnet50,50,25600000,8184.3,55.12,0.85,true,0.5,true,relu,categorical_crossentropy,step_decay,0,excellent,high,significant,very_high,staging,training.data.transformed,staging,Level-3,presentation
TS-004-007,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:12:00.000Z,7,0.6234,0.6789,0.004,0.7789,0.7678,convergence,training,0,false,256,0.6898,step_decay,optimizing,0.0253,0.9,0.0001,resnet50,50,25600000,8182.7,52.56,0.83,true,0.5,true,relu,categorical_crossentropy,step_decay,0,excellent,high,significant,very_high,staging,training.data.transformed,staging,Level-3,presentation
TS-004-008,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:14:00.000Z,8,0.3901,0.4456,0.003,0.8456,0.8345,convergence,training,0,false,256,0.6432,step_decay,optimizing,0.0227,0.9,0.0001,resnet50,50,25600000,8181.1,50.01,0.81,true,0.5,true,relu,categorical_crossentropy,step_decay,0,excellent,high,significant,very_high,staging,training.data.transformed,staging,Level-3,presentation
TS-004-009,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:16:00.000Z,9,0.1567,0.2123,0.002,0.9123,0.9012,convergence,training,0,false,256,0.5965,step_decay,optimizing,0.0206,0.9,0.0001,resnet50,50,25600000,8179.5,47.45,0.79,true,0.5,true,relu,categorical_crossentropy,step_decay,0,excellent,high,significant,very_high,staging,training.data.transformed,staging,Level-3,presentation
TS-004-010,resnet_cnn_model,training.model.candidate,cnn,sgd_optimizer,2024-12-19T12:18:00.000Z,10,0.0789,0.1234,0.001,0.9789,0.9678,convergence,converged,0,true,256,0.5498,step_decay,optimizing,0.0189,0.9,0.0001,resnet50,50,25600000,8177.9,44.90,0.77,true,0.5,true,relu,categorical_crossentropy,step_decay,0,excellent,high,highly_significant,very_high,staging,training.data.transformed,staging,Level-3,publication
TS-005-001,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:00:00.000Z,1,1.8901,1.9456,0.0001,0.4567,0.4456,initialization,training,0,false,512,1.3456,ensemble_scheduling,initializing,0.0678,0.9,0.01,voting_ensemble,5,50000000,16384.5,89.12,0.98,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-002,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:03:00.000Z,2,1.5567,1.6123,0.00015,0.5234,0.5123,initialization,training,0,false,512,1.2789,ensemble_scheduling,optimizing,0.0589,0.9,0.01,voting_ensemble,5,50000000,16382.9,86.78,0.96,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-003,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:06:00.000Z,3,1.2234,1.2789,0.0002,0.5901,0.5789,initialization,training,0,false,512,1.2123,ensemble_scheduling,optimizing,0.0512,0.9,0.01,voting_ensemble,5,50000000,16381.3,84.45,0.94,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-004,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:09:00.000Z,4,0.8901,0.9456,0.00025,0.6567,0.6456,convergence,training,0,false,512,1.1456,ensemble_scheduling,optimizing,0.0447,0.9,0.01,voting_ensemble,5,50000000,16379.7,82.11,0.92,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-005,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:12:00.000Z,5,0.5567,0.6123,0.0003,0.7234,0.7123,convergence,training,0,true,512,1.0789,ensemble_scheduling,optimizing,0.0392,0.9,0.01,voting_ensemble,5,50000000,16378.1,79.78,0.90,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-006,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:15:00.000Z,6,0.2234,0.2789,0.00035,0.7901,0.7789,convergence,training,0,false,512,1.0123,ensemble_scheduling,optimizing,0.0347,0.9,0.01,voting_ensemble,5,50000000,16376.5,77.44,0.88,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-007,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:18:00.000Z,7,0.1123,0.1567,0.0004,0.8567,0.8456,convergence,training,0,false,512,0.9456,ensemble_scheduling,optimizing,0.0311,0.9,0.01,voting_ensemble,5,50000000,16374.9,75.11,0.86,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-008,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:21:00.000Z,8,0.0567,0.0789,0.00045,0.9234,0.9123,convergence,training,0,false,512,0.8789,ensemble_scheduling,optimizing,0.0283,0.9,0.01,voting_ensemble,5,50000000,16373.3,72.78,0.84,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-009,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:24:00.000Z,9,0.0234,0.0345,0.0005,0.9901,0.9789,convergence,training,0,false,512,0.8123,ensemble_scheduling,optimizing,0.0261,0.9,0.01,voting_ensemble,5,50000000,16371.7,70.44,0.82,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-005-010,ensemble_model,training.model.champion,ensemble,ensemble_optimizer,2024-12-19T13:27:00.000Z,10,0.0089,0.0123,0.00055,0.9956,0.9923,convergence,converged,0,true,512,0.7456,ensemble_scheduling,optimizing,0.0244,0.9,0.01,voting_ensemble,5,50000000,16370.1,68.11,0.80,true,0.2,true,mixed,ensemble_loss,ensemble_scheduling,500,excellent,high,highly_significant,ultra_high,production,training.data.transformed,production,Level-3,publication
TS-006-001,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:00:00.000Z,1,2.2345,2.2901,0.001,0.2234,0.2123,initialization,training,0,false,32,0.8234,exponential_decay,initializing,0.0345,0.9,0.0005,lstm_regularized,1,135000,520.7,13.45,0.72,false,0.4,true,tanh,mse,exponential_decay,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-006-002,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:00:35.000Z,2,2.1234,2.1789,0.0009,0.2456,0.2345,initialization,training,0,false,32,0.7998,exponential_decay,optimizing,0.0312,0.9,0.0005,lstm_regularized,1,135000,519.8,12.89,0.70,false,0.4,true,tanh,mse,exponential_decay,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-006-003,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:01:10.000Z,3,2.0123,2.0678,0.0008,0.2678,0.2567,initialization,training,0,false,32,0.7765,exponential_decay,optimizing,0.0287,0.9,0.0005,lstm_regularized,1,135000,518.9,12.34,0.68,false,0.4,true,tanh,mse,exponential_decay,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-006-004,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:01:45.000Z,4,1.9012,1.9567,0.0007,0.2901,0.2789,initialization,training,0,false,32,0.7532,exponential_decay,optimizing,0.0267,0.9,0.0005,lstm_regularized,1,135000,518.0,11.78,0.66,false,0.4,true,tanh,mse,exponential_decay,0,fair,low,not_significant,medium,development,training.data.raw,development,Level-1,exploration
TS-006-005,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:02:20.000Z,5,1.7901,1.8456,0.0006,0.3123,0.3012,convergence,training,0,true,32,0.7298,exponential_decay,optimizing,0.0251,0.9,0.0005,lstm_regularized,1,135000,517.1,11.23,0.64,false,0.4,true,tanh,mse,exponential_decay,0,fair,low,not_significant,medium,development,training.data.cleaned,development,Level-2,exploration
TS-006-006,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:02:55.000Z,6,1.6789,1.7345,0.0005,0.3345,0.3234,convergence,training,0,false,32,0.7065,exponential_decay,optimizing,0.0237,0.9,0.0005,lstm_regularized,1,135000,516.2,10.67,0.62,false,0.4,true,tanh,mse,exponential_decay,0,fair,low,not_significant,medium,development,training.data.cleaned,development,Level-2,exploration
TS-006-007,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:03:30.000Z,7,1.5678,1.6234,0.0004,0.3567,0.3456,convergence,training,0,false,32,0.6832,exponential_decay,optimizing,0.0226,0.9,0.0005,lstm_regularized,1,135000,515.3,10.12,0.60,false,0.4,true,tanh,mse,exponential_decay,0,good,medium,significant,medium,development,training.data.cleaned,development,Level-2,exploration
TS-006-008,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:04:05.000Z,8,1.4567,1.5123,0.0003,0.3789,0.3678,convergence,training,0,false,32,0.6598,exponential_decay,optimizing,0.0217,0.9,0.0005,lstm_regularized,1,135000,514.4,9.56,0.58,false,0.4,true,tanh,mse,exponential_decay,0,good,medium,significant,medium,development,training.data.cleaned,development,Level-2,exploration
TS-006-009,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:04:40.000Z,9,1.3456,1.4012,0.0002,0.4012,0.3901,convergence,training,0,false,32,0.6365,exponential_decay,optimizing,0.0209,0.9,0.0005,lstm_regularized,1,135000,513.5,9.01,0.56,false,0.4,true,tanh,mse,exponential_decay,0,good,medium,significant,medium,development,training.data.cleaned,development,Level-2,exploration
TS-006-010,regularized_lstm_model,training.model.baseline,lstm,adam_optimizer,2024-12-19T14:05:15.000Z,10,1.2345,1.2901,0.0001,0.4234,0.4123,convergence,converged,0,true,32,0.6132,exponential_decay,optimizing,0.0202,0.9,0.0005,lstm_regularized,1,135000,512.6,8.45,0.54,false,0.4,true,tanh,mse,exponential_decay,0,good,medium,significant,medium,development,training.data.cleaned,development,Level-2,exploration
TS-007-001,gru_model,training.model.candidate,gru,rmsprop_optimizer,2024-12-19T15:00:00.000Z,1,2.0789,2.1345,0.001,0.3234,0.3123,initialization,training,0,false,64,0.8765,plateau_scheduler,initializing,0.0234,0.9,0.0001,gru_attention,1,180000,768.9,15.67,0.78,true,0.25,true,tanh,mse,plateau_scheduler,0,good,medium,significant,medium,staging,training.data.cleaned,staging,Level-2,exploration
TS-007-002,gru_model,training.model.candidate,gru,rmsprop_optimizer,2024-12-19T15:00:50.000Z,2,1.8456,1.9012,0.0009,0.3567,0.3456,initialization,training,0,false,64,0.8432,plateau_scheduler,optimizing,0.0198,0.9,0.0001,gru_attention,1,180000,768.1,15.12,0.76,true,0.25,true,tanh,mse,plateau_scheduler,0,good,medium,significant,medium,staging,training.data.cleaned,staging,Level-2,exploration
TS-007-003,gru_model,training.model.candidate,gru,rmsprop_optimizer,2024-12-19T15:01:40.000Z,3,1.6123,1.6789,0.0008,0.3901,0.3789,initialization,training,0,false,64,0.8098,plateau_scheduler,optimizing,0.0167,0.9,0.0001,gru_attention,1,180000,767.3,14.56,0.74,true,0.25,true,tanh,mse,plateau_scheduler,0,good,medium,significant,medium,staging,training.data.cleaned,staging,Level-2,exploration
TS-007-004,gru_model,training.model.candidate,gru,rmsprop_optimizer,2024-12-19T15:02:30.000Z,4,1.3789,1.4456,0.0007,0.4234,0.4123,convergence,training,0,false,64,0.7765,plateau_scheduler,optimizing,0.0142,0.9,0.0001,gru_attention,1,180000,766.5,14.01,0.72,true,0.25,true,tanh,mse,plateau_scheduler,0,good,medium,significant,medium,staging,training.data.cleaned,staging,Level-2,exploration
