experiment_group,analysis_category,data_subset,group_mean,group_std,confidence_interval_lower,confidence_interval_upper,sample_size,statistical_significance,p_value,effect_size,researcher_notes,manual_styling_requirements
treatment_B,comparative_response,modified_protocol,12.58,0.55,11.91,13.25,5,significant,0.015,1.78,"Modified protocol moderate efficacy. Manual styling: orange with modification indicators","Manual protocol styling: cross-hatched orange bars (xxxx), modification symbols (~), requires pattern overlay"
control,longitudinal_function,baseline_function,100.00,1.50,97.88,102.12,3,baseline,1.000,0.00,"Baseline motor function. Manual styling: black with function indicators","Manual longitudinal styling: solid black line (-), function symbol (♦), requires symbol font configuration"
intervention,longitudinal_function,30day_improvement,115.47,3.14,111.69,119.25,3,significant,0.023,1.24,"30-day significant improvement. Manual styling: green with improvement arrows","Manual longitudinal styling: green line with markers (o-), improvement arrows (↗), requires angle configuration"
intervention,longitudinal_function,60day_maximum,124.60,3.33,120.64,128.56,3,highly_significant,0.003,2.18,"60-day maximum improvement. Manual styling: dark green with maximum indicators","Manual longitudinal styling: dark green bold line, maximum star markers (*), requires linewidth=3 configuration"
vehicle,survival_analysis,control_survival,28.52,0.54,27.88,29.16,5,control,1.000,0.00,"Vehicle control survival. Manual styling: gray with survival curve","Manual survival styling: gray step function, confidence bands, requires plt.step() with fill_between()"
low_dose,survival_analysis,low_dose_survival,26.98,0.49,26.39,27.57,5,ns,0.124,0.34,"Low dose survival profile. Manual styling: light blue survival curve","Manual survival styling: light blue step function, dashed confidence bands, requires linestyle configuration"
high_dose,survival_analysis,high_dose_survival,22.44,0.54,21.80,23.08,5,significant,0.002,1.87,"High dose reduced survival. Manual styling: red survival curve with significance","Manual survival styling: red step function, significance markers (†), requires custom death symbols"
control,protein_binding,binding_baseline,85.50,1.85,83.23,87.77,3,baseline,1.000,0.00,"Protein binding baseline. Manual styling: purple with binding patterns","Manual binding styling: purple bars with binding pattern (∞), requires special symbol handling"
treatment,protein_binding,enhanced_binding,92.70,1.40,91.00,94.40,3,significant,0.034,1.12,"Enhanced protein binding. Manual styling: dark purple with enhancement markers","Manual binding styling: dark purple bars, enhancement symbols (+), requires plus symbol positioning"
inhibitor_A,enzyme_activity,inhibition_profile,23.67,1.92,21.38,25.96,3,highly_significant,0.001,2.34,"Inhibitor A strong effect. Manual styling: red with inhibition arrows","Manual inhibition styling: red bars with down arrows (↓), inhibition percentage labels, requires percentage formatting"
inhibitor_B,enzyme_activity,strong_inhibition,18.53,1.31,16.98,20.08,3,highly_significant,0.0005,2.78,"Inhibitor B strongest effect. Manual styling: dark red with maximum inhibition","Manual inhibition styling: dark red bars, maximum inhibition symbols (⊥), requires symbol font configuration"
mono_A,synergy_analysis,monotherapy_A,1.10,0.10,0.98,1.22,3,additive,0.456,0.00,"Monotherapy A additive effect. Manual styling: blue with additive line","Manual synergy styling: blue bars with additive reference line (y=1), requires horizontal reference styling"
mono_B,synergy_analysis,monotherapy_B,1.00,0.10,0.88,1.12,3,additive,1.000,0.00,"Monotherapy B baseline additive. Manual styling: light blue with baseline markers","Manual synergy styling: light blue bars, baseline markers (◊), requires diamond symbol configuration"
combo_low,synergy_analysis,low_synergy,1.80,0.10,1.68,1.92,3,synergistic,0.008,1.95,"Low dose synergistic effect. Manual styling: green with synergy indicators","Manual synergy styling: green bars, synergy arrows (↗), synergy zone shading, requires color gradient"
combo_high,synergy_analysis,high_synergy,2.40,0.20,2.16,2.64,3,highly_synergistic,0.001,3.45,"High dose strong synergy. Manual styling: dark green with maximum synergy","Manual synergy styling: dark green bars, synergy stars (★), maximum zone highlighting, requires star symbols"
single_dose,pharmacokinetic,pk_profile_single,45.07,2.22,42.40,47.74,3,pk_profile,0.892,0.15,"Single dose PK profile. Manual styling: orange with PK curve styling","Manual PK styling: orange line with PK markers (△), log scale formatting, requires semilog configuration"
multiple_dose,pharmacokinetic,pk_profile_multiple,62.63,2.80,59.31,65.95,3,steady_state,0.734,0.28,"Multiple dose steady state. Manual styling: red orange with steady state indicators","Manual PK styling: red-orange line, steady state plateau shading, requires custom plateau detection"
