analysis_id,instrument_id,qc_category,analysis_date,pass_fail_status,quality_score,threshold_indicator,deviation_percent,risk_level,manual_styling_required,color_code_needed,symbol_type_needed,analysis_notes
QCA_027,UV_VIS_001,drift_monitoring,2024-01-16,PASS,550.20,WITHIN_LIMITS,-0.33,LOW,TRUE,CYAN,PLUS,"Manual cyan plus for UV-Vis drift pass. Traditional approach requires explicit styling"
QCA_028,UV_VIS_002,drift_monitoring,2024-01-16,FAIL,553.10,ABOVE_THRESHOLD,0.20,MEDIUM,TRUE,YELLOW,ASTERISK,"Manual yellow asterisk for drift fail. Conventional matplotlib: manual marker and color"
QCA_029,ICP_MS_001,calibration_check,2024-01-17,PASS,99.40,ABOVE_THRESHOLD,4.40,LOW,TRUE,GREEN,CIRCLE,"Manual green circle for ICP-MS calibration. Traditional workflow needs hardcoded styling"
QCA_030,ICP_MS_001,instrument_validation,2024-01-17,PASS,0.015,BELOW_THRESHOLD,-70.00,LOW,TRUE,BLUE,DIAMOND,"Manual blue diamond for ICP-MS validation. Traditional approach: explicit marker styling"
QCA_031,ICP_MS_001,control_sample,2024-01-17,PASS,98.10,WITHIN_LIMITS,-6.90,LOW,TRUE,PURPLE,SQUARE,"Manual purple square for ICP-MS control. Conventional matplotlib requires manual styling"
QCA_032,ICP_MS_001,drift_monitoring,2024-01-17,PASS,7.230,WITHIN_LIMITS,-0.96,LOW,TRUE,CYAN,PLUS,"Manual cyan plus for ICP-MS drift monitoring. Traditional styling decisions needed"
QCA_033,FTIR_001,calibration_check,2024-01-17,MIXED,95.70,THRESHOLD_BORDERLINE,0.70,MEDIUM,TRUE,YELLOW,DIAMOND,"Manual yellow diamond for borderline calibration. Traditional: requires threshold-based color logic"
QCA_034,FTIR_001,instrument_validation,2024-01-17,PASS,0.040,BELOW_THRESHOLD,-20.00,LOW,TRUE,BLUE,DIAMOND,"Manual blue diamond for FTIR validation. Hardcoded matplotlib styling required"
QCA_035,FTIR_001,control_sample,2024-01-17,PASS,103.80,WITHIN_LIMITS,-1.20,LOW,TRUE,PURPLE,SQUARE,"Manual purple square for FTIR control sample. Traditional approach needs explicit colors"
QCA_036,FTIR_001,drift_monitoring,2024-01-17,PASS,1652.80,WITHIN_LIMITS,-0.13,LOW,TRUE,CYAN,PLUS,"Manual cyan plus for FTIR drift monitoring. Conventional styling: manual marker selection"
QCA_037,XRF_001,calibration_check,2024-01-18,PASS,96.80,ABOVE_THRESHOLD,1.80,LOW,TRUE,GREEN,CIRCLE,"Manual green circle for XRF calibration. Traditional matplotlib: hardcoded color and marker"
QCA_038,XRF_001,instrument_validation,2024-01-18,PASS,0.035,BELOW_THRESHOLD,-30.00,LOW,TRUE,BLUE,DIAMOND,"Manual blue diamond for XRF validation. Traditional workflow requires manual styling"
QCA_039,XRF_001,control_sample,2024-01-18,PASS,102.70,WITHIN_LIMITS,-2.30,LOW,TRUE,PURPLE,SQUARE,"Manual purple square for XRF control. Conventional approach: explicit symbol styling"
QCA_040,XRF_001,drift_monitoring,2024-01-18,PASS,45.20,WITHIN_LIMITS,-1.74,LOW,TRUE,CYAN,PLUS,"Manual cyan plus for XRF drift monitoring. Traditional matplotlib customization needed"
QCA_041,NMR_400_001,calibration_check,2024-01-18,PASS,98.30,ABOVE_THRESHOLD,3.30,LOW,TRUE,GREEN,CIRCLE,"Manual green circle for NMR calibration. Traditional styling: hardcoded color decisions"
QCA_042,NMR_400_001,instrument_validation,2024-01-18,PASS,0.025,BELOW_THRESHOLD,-50.00,LOW,TRUE,BLUE,DIAMOND,"Manual blue diamond for NMR validation. Conventional matplotlib: manual marker styling"
QCA_043,NMR_400_001,control_sample,2024-01-18,PASS,99.80,WITHIN_LIMITS,-5.20,LOW,TRUE,PURPLE,SQUARE,"Manual purple square for NMR control sample. Traditional approach requires explicit styling"
QCA_044,NMR_400_001,drift_monitoring,2024-01-18,PASS,399.89,WITHIN_LIMITS,-0.03,LOW,TRUE,CYAN,PLUS,"Manual cyan plus for NMR drift monitoring. Traditional workflow needs hardcoded parameters"
QCA_045,HPLC_001,overall_performance,2024-01-15,PASS,88.5,COMPOSITE_SCORE,88.50,LOW,TRUE,LIGHT_GREEN,CIRCLE_FILLED,"Manual light green filled circle for overall HPLC performance. Traditional: complex conditional styling"
QCA_046,HPLC_002,overall_performance,2024-01-15,FAIL,72.3,COMPOSITE_SCORE,72.30,HIGH,TRUE,DARK_RED,X_LARGE,"Manual dark red large X for poor overall performance. Hardcoded: multiple styling parameters"
QCA_047,LC_MS_001,overall_performance,2024-01-15,PASS,92.8,COMPOSITE_SCORE,92.80,LOW,TRUE,DARK_GREEN,CIRCLE_FILLED,"Manual dark green filled circle for excellent LC-MS performance. Traditional threshold styling"
QCA_048,LC_MS_002,overall_performance,2024-01-15,PASS,86.2,COMPOSITE_SCORE,86.20,LOW,TRUE,LIGHT_GREEN,CIRCLE_FILLED,"Manual light green filled circle for good LC-MS performance. Conventional matplotlib styling"
QCA_049,GC_MS_001,overall_performance,2024-01-16,PASS,89.7,COMPOSITE_SCORE,89.70,LOW,TRUE,LIGHT_GREEN,CIRCLE_FILLED,"Manual light green filled circle for GC-MS overall performance. Traditional styling approach"
QCA_050,UV_VIS_001,overall_performance,2024-01-16,PASS,85.1,COMPOSITE_SCORE,85.10,MEDIUM,TRUE,YELLOW_GREEN,CIRCLE_FILLED,"Manual yellow-green filled circle for marginal UV-Vis performance. Threshold-based styling needed"
QCA_051,UV_VIS_002,overall_performance,2024-01-16,FAIL,69.8,COMPOSITE_SCORE,69.80,HIGH,TRUE,DARK_RED,X_LARGE,"Manual dark red large X for failed UV-Vis overall performance. Complex traditional styling"
QCA_052,ICP_MS_001,overall_performance,2024-01-17,PASS,94.1,COMPOSITE_SCORE,94.10,LOW,TRUE,DARK_GREEN,CIRCLE_FILLED,"Manual dark green filled circle for excellent ICP-MS performance. Hardcoded matplotlib parameters"
QCA_053,FTIR_001,overall_performance,2024-01-17,PASS,83.4,COMPOSITE_SCORE,83.40,MEDIUM,TRUE,YELLOW_GREEN,CIRCLE_FILLED,"Manual yellow-green filled circle for acceptable FTIR performance. Traditional threshold styling"
QCA_054,XRF_001,overall_performance,2024-01-18,PASS,87.9,COMPOSITE_SCORE,87.90,LOW,TRUE,LIGHT_GREEN,CIRCLE_FILLED,"Manual light green filled circle for good XRF performance. Conventional styling decisions"
QCA_055,NMR_400_001,overall_performance,2024-01-18,PASS,95.3,COMPOSITE_SCORE,95.30,LOW,TRUE,DARK_GREEN,CIRCLE_FILLED,"Manual dark green filled circle for outstanding NMR performance. Traditional matplotlib customization"
