analysis_id,experiment_id,experiment_type,treatment,sample_group,measurement_type,experiment_phase,analysis_stage,model_type,researcher,date,sample_size,duration_hours,success_rate,baseline_value,treated_value,control_value,effect_size,significance_p_value,confidence_interval_lower,confidence_interval_upper,trend_direction,measurement_unit,quality_score,batch_id,sensor_id,statistical_power,cohen_d,fold_change,normalized_effect,variance_ratio,outlier_count,missing_data_percent,data_completeness,processing_timestamp,condition_category,condition_subcategory,hierarchy_level,wildcard_pattern,styling_context
COMB011,EXP011,Biomarker_Discovery,treatment_group_a,Cohort_1,biomarker_beta,validation,presentation,random_forest,Dr. Lisa Park,2024-02-12,300,72,0.76,18.67,25.43,18.67,0.58,0.0025,0.43,0.73,increasing,µg/L,0.91,BATCH011,SENS002,0.92,1.12,1.362,0.634,1.71,5,1.9,0.981,2024-02-12T16:00:00Z,biomarker_discovery,treatment_a,validation,biomarker_*_treatment_a,presentation_validation
COMB012,EXP012,Biomarker_Discovery,treatment_group_b,Cohort_2,biomarker_beta,validation,presentation,random_forest,Dr. Lisa Park,2024-02-13,300,72,0.71,18.67,33.78,18.67,0.75,0.0001,0.60,0.90,increasing,µg/L,0.93,BATCH012,SENS002,0.98,1.38,1.809,0.773,2.07,4,1.7,0.983,2024-02-13T16:00:00Z,biomarker_discovery,treatment_b,validation,biomarker_*_treatment_b,presentation_validation
COMB013,EXP013,Biomarker_Discovery,combined_groups,All_Cohorts,biomarker_beta,testing,publication,ensemble,Dr. Lisa Park,2024-02-20,600,96,0.74,18.67,27.89,18.67,0.66,0.0008,0.53,0.79,increasing,µg/L,0.94,BATCH013,SENS002,0.96,1.23,1.494,0.695,1.87,6,1.5,0.985,2024-02-20T18:00:00Z,biomarker_discovery,combined,publication,biomarker_*_combined,publication_testing
COMB014,EXP014,Dose_Response,treatment_group_a,Low_Dose,efficacy_score,training,exploratory,linear_regression,Dr. Robert Taylor,2024-03-01,200,24,0.45,71.8,83.6,71.8,0.31,0.02,0.18,0.44,increasing,score,0.83,BATCH014,SENS003,0.78,0.67,1.164,0.387,1.45,3,2.4,0.976,2024-03-01T12:00:00Z,dose_response,low_dose,primary,dose_*_low,exploratory_training
COMB015,EXP015,Dose_Response,treatment_group_b,High_Dose,efficacy_score,training,exploratory,linear_regression,Dr. Robert Taylor,2024-03-02,200,24,0.92,71.8,92.4,71.8,0.95,0.00001,0.82,1.08,increasing,score,0.96,BATCH015,SENS003,0.99,2.15,1.287,0.953,2.78,2,1.3,0.987,2024-03-02T12:00:00Z,dose_response,high_dose,primary,dose_*_high,exploratory_training
COMB016,EXP016,Dose_Response,control_group,Placebo,efficacy_score,training,exploratory,linear_regression,Dr. Robert Taylor,2024-03-03,200,24,0.09,71.8,71.8,71.8,0.00,0.95,0.08,0.11,stable,score,0.82,BATCH016,SENS003,0.05,0.00,1.000,0.000,1.00,1,1.8,0.982,2024-03-03T12:00:00Z,dose_response,placebo,baseline,dose_*_placebo,exploratory_training
COMB017,EXP017,Dose_Response,treatment_group_a,Low_Dose,efficacy_score,validation,presentation,random_forest,Dr. Amanda Foster,2024-03-08,400,48,0.48,71.8,83.6,71.8,0.33,0.018,0.20,0.46,increasing,score,0.87,BATCH017,SENS003,0.80,0.71,1.164,0.398,1.48,4,2.1,0.979,2024-03-08T14:00:00Z,dose_response,low_dose,validation,dose_*_low,presentation_validation
COMB018,EXP018,Dose_Response,treatment_group_b,High_Dose,efficacy_score,validation,presentation,random_forest,Dr. Amanda Foster,2024-03-09,400,48,0.89,71.8,92.4,71.8,0.93,0.00001,0.80,1.06,increasing,score,0.97,BATCH018,SENS003,0.99,2.08,1.287,0.934,2.73,3,1.2,0.988,2024-03-09T14:00:00Z,dose_response,high_dose,validation,dose_*_high,presentation_validation
COMB019,EXP019,Dose_Response,combined_groups,Dose_Series,efficacy_score,testing,publication,ensemble,Dr. Amanda Foster,2024-03-15,800,72,0.68,71.8,84.73,71.8,0.56,0.003,0.43,0.69,increasing,score,0.91,BATCH019,SENS003,0.93,1.15,1.180,0.623,1.89,5,1.6,0.984,2024-03-15T16:00:00Z,dose_response,combined,publication,dose_*_combined,publication_testing
COMB020,EXP020,Longitudinal_Study,treatment_group_a,Week_1,response_time,training,exploratory,linear_regression,Dr. David Chang,2024-03-20,100,168,0.62,152.3,132.8,152.3,0.49,0.008,0.32,0.66,decreasing,ms,0.85,BATCH020,SENS004,0.88,0.95,0.872,0.512,1.62,2,2.8,0.972,2024-03-20T20:00:00Z,longitudinal,week_1,primary,longitudinal_*_week_1,exploratory_training
COMB021,EXP021,Longitudinal_Study,treatment_group_a,Week_4,response_time,training,exploratory,linear_regression,Dr. David Chang,2024-04-10,100,168,0.79,152.3,132.8,152.3,0.64,0.002,0.49,0.79,decreasing,ms,0.90,BATCH021,SENS004,0.95,1.25,0.872,0.673,1.89,3,2.2,0.978,2024-04-10T20:00:00Z,longitudinal,week_4,primary,longitudinal_*_week_4,exploratory_training
COMB022,EXP022,Longitudinal_Study,treatment_group_a,Week_8,response_time,validation,presentation,random_forest,Dr. David Chang,2024-05-08,100,168,0.84,152.3,132.8,152.3,0.71,0.0008,0.56,0.86,decreasing,ms,0.93,BATCH022,SENS004,0.97,1.42,0.872,0.734,2.03,4,1.9,0.981,2024-05-08T20:00:00Z,longitudinal,week_8,validation,longitudinal_*_week_8,presentation_validation
COMB023,EXP023,Longitudinal_Study,treatment_group_a,Week_12,response_time,testing,publication,ensemble,Dr. David Chang,2024-06-05,100,168,0.81,152.3,132.8,152.3,0.68,0.001,0.53,0.83,decreasing,ms,0.92,BATCH023,SENS004,0.96,1.35,0.872,0.712,1.97,3,1.7,0.983,2024-06-05T20:00:00Z,longitudinal,week_12,publication,longitudinal_*_week_12,publication_testing
COMB024,EXP024,Safety_Profile,treatment_group_a,Safety_Cohort,accuracy_metric,training,exploratory,linear_regression,Dr. Maria Gonzalez,2024-04-01,75,336,0.93,0.817,0.891,0.817,0.23,0.04,0.12,0.34,increasing,proportion,0.96,BATCH024,SENS005,0.75,0.52,1.091,0.287,1.32,1,1.0,0.99,2024-04-01T24:00:00Z,safety_profile,treatment_a,primary,safety_*_treatment_a,exploratory_training
COMB025,EXP025,Safety_Profile,treatment_group_b,Safety_Cohort,accuracy_metric,training,exploratory,linear_regression,Dr. Maria Gonzalez,2024-04-02,75,336,0.89,0.817,0.942,0.817,0.38,0.015,0.26,0.50,increasing,proportion,0.97,BATCH025,SENS005,0.85,0.82,1.153,0.423,1.56,2,0.8,0.992,2024-04-02T24:00:00Z,safety_profile,treatment_b,primary,safety_*_treatment_b,exploratory_training
COMB026,EXP026,Safety_Profile,control_group,Safety_Control,accuracy_metric,training,exploratory,linear_regression,Dr. Maria Gonzalez,2024-04-03,75,336,0.97,0.817,0.817,0.817,0.00,0.98,0.03,0.03,stable,proportion,0.98,BATCH026,SENS005,0.05,0.00,1.000,0.000,1.00,0,0.5,0.995,2024-04-03T24:00:00Z,safety_profile,control,baseline,safety_*_control,exploratory_training
COMB027,EXP027,Safety_Profile,combined_groups,All_Safety,accuracy_metric,validation,presentation,random_forest,Dr. Maria Gonzalez,2024-04-15,225,336,0.91,0.817,0.883,0.817,0.20,0.05,0.09,0.31,increasing,proportion,0.97,BATCH027,SENS005,0.72,0.46,1.081,0.254,1.27,3,0.7,0.993,2024-04-15T24:00:00Z,safety_profile,combined,validation,safety_*_combined,presentation_validation
COMB028,EXP028,Mechanistic_Study,treatment_group_a,Pathway_A,throughput_rate,training,exploratory,linear_regression,Dr. Kevin Liu,2024-04-20,80,96,0.71,852.1,973.2,852.1,0.31,0.03,0.18,0.44,increasing,ops/sec,0.84,BATCH028,SENS006,0.78,0.67,1.142,0.387,1.45,3,2.6,0.974,2024-04-20T18:00:00Z,mechanistic,pathway_a,primary,mechanistic_*_pathway_a,exploratory_training
COMB029,EXP029,Mechanistic_Study,treatment_group_b,Pathway_B,throughput_rate,training,exploratory,linear_regression,Dr. Kevin Liu,2024-04-21,80,96,0.67,852.1,1134.7,852.1,0.72,0.0005,0.59,0.85,increasing,ops/sec,0.90,BATCH029,SENS006,0.96,1.41,1.332,0.745,2.01,4,2.3,0.977,2024-04-21T18:00:00Z,mechanistic,pathway_b,primary,mechanistic_*_pathway_b,exploratory_training
COMB030,EXP030,Mechanistic_Study,control_group,No_Treatment,throughput_rate,training,exploratory,linear_regression,Dr. Kevin Liu,2024-04-22,80,96,0.05,852.1,852.1,852.1,0.00,0.96,0.02,0.02,stable,ops/sec,0.81,BATCH030,SENS006,0.05,0.00,1.000,0.000,1.00,1,1.9,0.981,2024-04-22T18:00:00Z,mechanistic,control,baseline,mechanistic_*_control,exploratory_training
COMB031,EXP031,Mechanistic_Study,combined_groups,All_Pathways,throughput_rate,validation,presentation,ensemble,Dr. Kevin Liu,2024-05-01,240,120,0.69,852.1,968.4,852.1,0.46,0.009,0.31,0.61,increasing,ops/sec,0.88,BATCH031,SENS006,0.87,0.91,1.136,0.489,1.72,5,2.0,0.98,2024-05-01T20:00:00Z,mechanistic,combined,validation,mechanistic_*_combined,presentation_validation
COMB032,EXP032,Comparative_Study,treatment_group_a,Standard_Care,error_rate,validation,presentation,random_forest,Dr. Rachel Adams,2024-05-10,300,144,0.68,0.0823,0.0543,0.0823,0.42,0.012,0.28,0.56,decreasing,proportion,0.86,BATCH032,SENS007,0.84,0.85,0.660,0.445,1.58,2,1.8,0.982,2024-05-10T22:00:00Z,comparative,standard_care,validation,comparative_*_standard,presentation_validation
COMB033,EXP033,Comparative_Study,treatment_group_b,Experimental,error_rate,validation,presentation,random_forest,Dr. Rachel Adams,2024-05-11,300,144,0.83,0.0823,0.0312,0.0823,0.68,0.001,0.55,0.81,decreasing,proportion,0.93,BATCH033,SENS007,0.96,1.34,0.379,0.712,2.15,3,1.5,0.985,2024-05-11T22:00:00Z,comparative,experimental,validation,comparative_*_experimental,presentation_validation
COMB034,EXP034,Comparative_Study,combined_groups,Head_to_Head,error_rate,testing,publication,ensemble,Dr. Rachel Adams,2024-05-20,600,144,0.76,0.0823,0.0427,0.0823,0.55,0.004,0.42,0.68,decreasing,proportion,0.89,BATCH034,SENS007,0.92,1.09,0.519,0.578,1.87,4,1.6,0.984,2024-05-20T22:00:00Z,comparative,combined,publication,comparative_*_combined,publication_testing
COMB035,EXP035,Pilot_Study,treatment_group_a,Pilot_Cohort,memory_usage,training,exploratory,linear_regression,Dr. Thomas Wilson,2024-06-01,50,48,0.72,2834.6,2478.3,2834.6,0.21,0.06,0.08,0.34,decreasing,MB,0.82,BATCH035,SENS008,0.71,0.48,0.874,0.267,1.29,2,3.1,0.969,2024-06-01T14:00:00Z,pilot_study,pilot_cohort,primary,pilot_*_cohort,exploratory_training
COMB036,EXP036,Pilot_Study,control_group,Pilot_Control,memory_usage,training,exploratory,linear_regression,Dr. Thomas Wilson,2024-06-02,50,48,0.11,2834.6,2834.6,2834.6,0.00,0.94,0.05,0.05,stable,MB,0.79,BATCH036,SENS008,0.05,0.00,1.000,0.000,1.00,1,2.8,0.972,2024-06-02T14:00:00Z,pilot_study,control,baseline,pilot_*_control,exploratory_training
COMB037,EXP037,Pilot_Study,combined_groups,Pilot_Analysis,memory_usage,validation,presentation,ensemble,Dr. Thomas Wilson,2024-06-10,100,72,0.61,2834.6,2589.4,2834.6,0.15,0.09,0.03,0.27,decreasing,MB,0.83,BATCH037,SENS008,0.65,0.35,0.913,0.189,1.18,3,2.9,0.971,2024-06-10T16:00:00Z,pilot_study,combined,validation,pilot_*_combined,presentation_validation
COMB038,EXP038,Retrospective_Analysis,treatment_group_a,Historical_A,efficacy_score,testing,publication,ensemble,Dr. Sophia Martinez,2024-06-15,1200,0,0.75,71.8,83.6,71.8,0.52,0.005,0.39,0.65,increasing,score,0.88,BATCH038,SENS009,0.90,1.02,1.164,0.545,1.78,8,1.2,0.988,2024-06-15T00:00:00Z,retrospective,historical_a,publication,retrospective_*_historical_a,publication_testing
COMB039,EXP039,Retrospective_Analysis,treatment_group_b,Historical_B,efficacy_score,testing,publication,ensemble,Dr. Sophia Martinez,2024-06-16,1200,0,0.71,71.8,92.4,71.8,0.89,0.00002,0.76,1.02,increasing,score,0.91,BATCH039,SENS009,0.98,1.85,1.287,0.890,2.45,7,1.0,0.99,2024-06-16T00:00:00Z,retrospective,historical_b,publication,retrospective_*_historical_b,publication_testing
COMB040,EXP040,Retrospective_Analysis,combined_groups,Meta_Analysis,efficacy_score,final,publication,ensemble,Dr. Sophia Martinez,2024-06-25,2400,0,0.73,71.8,86.34,71.8,0.67,0.0009,0.54,0.80,increasing,score,0.94,BATCH040,SENS009,0.95,1.31,1.202,0.693,2.08,12,0.8,0.992,2024-06-25T00:00:00Z,retrospective,meta_analysis,final,retrospective_*_meta,publication_final
COMB041,EXP001,Drug_Efficacy,treatment_group_a,Group_A,biomarker_alpha,validation,presentation,linear_regression,Dr. Sarah Chen,2024-01-15,250,72,0.85,23.12,30.87,23.12,0.69,0.0009,0.54,0.84,increasing,mg/mL,0.90,BATCH001,SENS001,0.96,1.27,1.335,0.748,1.81,3,2.0,0.98,2024-01-15T16:45:00Z,drug_efficacy,treatment_a,secondary,drug_*_treatment_a,presentation_validation
COMB042,EXP002,Drug_Efficacy,treatment_group_b,Group_B,biomarker_alpha,validation,presentation,linear_regression,Dr. Sarah Chen,2024-01-16,250,72,0.78,23.12,42.15,23.12,0.90,0.000001,0.74,1.06,increasing,mg/mL,0.93,BATCH002,SENS001,0.99,1.89,1.823,0.895,2.17,2,1.7,0.983,2024-01-16T16:45:00Z,drug_efficacy,treatment_b,secondary,drug_*_treatment_b,presentation_validation
COMB043,EXP008,Biomarker_Discovery,treatment_group_a,Cohort_1,biomarker_beta,validation,presentation,linear_regression,Dr. James Kim,2024-02-05,150,48,0.73,18.67,25.43,18.67,0.57,0.0028,0.42,0.72,increasing,µg/L,0.87,BATCH008,SENS002,0.91,1.10,1.362,0.626,1.69,4,2.2,0.978,2024-02-05T14:45:00Z,biomarker_discovery,treatment_a,secondary,biomarker_*_treatment_a,presentation_validation
COMB044,EXP009,Biomarker_Discovery,treatment_group_b,Cohort_2,biomarker_beta,validation,presentation,linear_regression,Dr. James Kim,2024-02-06,150,48,0.69,18.67,33.78,18.67,0.74,0.0002,0.59,0.89,increasing,µg/L,0.90,BATCH009,SENS002,0.97,1.37,1.809,0.765,2.05,3,1.9,0.981,2024-02-06T14:45:00Z,biomarker_discovery,treatment_b,secondary,biomarker_*_treatment_b,presentation_validation
COMB045,EXP014,Dose_Response,treatment_group_a,Low_Dose,efficacy_score,validation,presentation,linear_regression,Dr. Robert Taylor,2024-03-01,200,24,0.45,71.8,83.6,71.8,0.32,0.019,0.19,0.45,increasing,score,0.84,BATCH014,SENS003,0.79,0.69,1.164,0.390,1.46,3,2.3,0.977,2024-03-01T12:15:00Z,dose_response,low_dose,secondary,dose_*_low,presentation_validation
COMB046,EXP015,Dose_Response,treatment_group_b,High_Dose,efficacy_score,validation,presentation,linear_regression,Dr. Robert Taylor,2024-03-02,200,24,0.92,71.8,92.4,71.8,0.96,0.00001,0.83,1.09,increasing,score,0.97,BATCH015,SENS003,0.99,2.17,1.287,0.956,2.80,2,1.2,0.988,2024-03-02T12:15:00Z,dose_response,high_dose,secondary,dose_*_high,presentation_validation
COMB047,EXP020,Longitudinal_Study,treatment_group_a,Week_1,response_time,validation,presentation,linear_regression,Dr. David Chang,2024-03-20,100,168,0.62,152.3,132.8,152.3,0.50,0.007,0.33,0.67,decreasing,ms,0.86,BATCH020,SENS004,0.89,0.97,0.872,0.515,1.64,2,2.7,0.973,2024-03-20T20:15:00Z,longitudinal,week_1,secondary,longitudinal_*_week_1,presentation_validation
COMB048,EXP021,Longitudinal_Study,treatment_group_a,Week_4,response_time,validation,presentation,linear_regression,Dr. David Chang,2024-04-10,100,168,0.79,152.3,132.8,152.3,0.65,0.0018,0.50,0.80,decreasing,ms,0.91,BATCH021,SENS004,0.96,1.27,0.872,0.676,1.91,3,2.1,0.979,2024-04-10T20:15:00Z,longitudinal,week_4,secondary,longitudinal_*_week_4,presentation_validation
COMB049,EXP024,Safety_Profile,treatment_group_a,Safety_Cohort,accuracy_metric,validation,presentation,linear_regression,Dr. Maria Gonzalez,2024-04-01,75,336,0.93,0.817,0.891,0.817,0.24,0.038,0.13,0.35,increasing,proportion,0.97,BATCH024,SENS005,0.76,0.54,1.091,0.290,1.34,1,0.9,0.991,2024-04-01T24:30:00Z,safety_profile,treatment_a,secondary,safety_*_treatment_a,presentation_validation
COMB050,EXP025,Safety_Profile,treatment_group_b,Safety_Cohort,accuracy_metric,validation,presentation,linear_regression,Dr. Maria Gonzalez,2024-04-02,75,336,0.89,0.817,0.942,0.817,0.39,0.014,0.27,0.51,increasing,proportion,0.98,BATCH025,SENS005,0.86,0.84,1.153,0.426,1.58,2,0.7,0.993,2024-04-02T24:30:00Z,safety_profile,treatment_b,secondary,safety_*_treatment_b,presentation_validation
